[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.02-31.60] 各位投资先进午安
[31.60-34.12] 我是今天法说会主持人
[34.12-36.30] 宽量国际QIC执行长
[36.30-37.86] Alice Lee 李鸿基
[37.86-40.62] 欢迎各位再次来参加
[40.62-42.26] 由凯基证券主办的
[42.26-44.00] 云豹能源2024年
[44.56-46.16] 第四季法人说明会
[46.16-48.90] 我先介绍一下今天的管理团队
[48.90-51.08] 今天与会的公司代表有
[51.08-52.96] 赵书明总经理
[52.96-57.82] 谭宇轩副总经理
[60.00-63.38] 张建伟永续长级办人
[63.38-68.68] 天能绿电唐雅胜总经理
[68.68-72.92] 林大祥财快部协理
[72.92-77.02] 黄志颖财快部协理
[79.52-82.32] 张佑慈行销公关部协理
[82.32-87.02] 郭启龙投资人关系资深经理
[90.00-93.00] 以及黄文玄投资人关系经理
[93.00-97.28] 本次的法说会首先将由
[97.28-100.34] 郭启龙投资人关系资深关系经理
[100.34-104.54] 为大家进行大概约20分钟左右的简报
[104.54-107.42] 说明云豹能源近期的发展
[107.42-109.60] 民运展望及策略布局
[109.60-111.52] 最后做一点公司检验
[111.52-114.36] 最后我们会再进行今天的试验
[114.36-117.46] 首先我们请郭资深经理
[117.46-118.78] 来为我们做今天的简报
[118.78-119.12] 谢谢
[120.00-123.04] 大家好
[123.04-125.42] 谢谢各位投资先进
[125.42-127.06] 还有媒体间的利领
[127.06-130.10] 谢谢大家来参加我们云豹能源的法说会
[130.10-131.36] 好
[131.36-133.16] 那我就快速开始
[133.16-135.90] 首先一开始我会先从去年的营运成果
[135.90-138.50] 然后到今年的展望
[138.50-140.44] 跟大家报告一下
[140.44-142.32] 然后接下来我会快速地做一个公司检介
[142.32-144.40] 因为可能有一些投资人过去
[144.40-146.04] 没有参加过我们的法说
[146.04-147.52] 也比较不熟悉公司的业务
[147.52-149.30] 那最后我们会跟大家分享
[149.30-149.98] 我们的公司的经济
[150.00-152.00] 以及我们的ESG的一些成果
[152.00-154.36] 好的
[154.36-155.88] 首先我们就看到说
[155.88-157.84] 去年我们全能营运成果
[157.84-159.24] 其实不错
[159.24-161.64] 那我们的这个获利和EPS创下新高
[161.64-163.48] 那除了国内以外
[163.48-166.42] 我们也积极布局了海外很多市场
[166.42-168.46] 不管是东北亚还是东南亚
[168.46-172.24] 然后接下来我们风电相关的这个策略投资
[172.24-174.52] 其实它在我们的获利贡献上
[174.52-175.60] 其实很显著的
[175.60-177.02] 那我们的合并营收呢
[177.02-177.96] 37.9亿
[177.96-179.30] 那大家可以看一下
[179.30-180.26] 右边这个圆柄图
[180.26-182.14] 过去这个图可能会看到说
[182.14-186.02] 比较大的结构都是由这个工程所组成的
[186.02-187.80] 那去年其实我们这个体质
[187.80-189.70] 也有很大的这个改变
[189.70-190.38] 大家可以看到
[190.38-192.52] 其实我们现在是一个多元营收的模式
[192.52-194.74] 那其中黄色的部分呢
[194.74-195.96] 可能是大家可以看到
[195.96-197.72] 它成长超过200个percent
[197.72-199.62] 其实我们的绿电交易的部分
[199.62-204.28] 那它的这个营收占比也达到了将近三成
[204.28-207.00] 那水处理工程的部分也有7.3亿
[207.00-209.26] 那我们的这个获利的部分
[209.30-210.30] 11.3亿
[210.30-212.40] EPS 8.89元
[212.40-216.16] 好 这是我们去年营运成果的跟大家一个报告
[216.16-219.90] 那接下来大家更关心的可能会是我们接下来今年的展望
[219.90-221.28] 那我们今年的展望
[221.28-224.46] 其实去年在整个大环境是比较辛苦的一年
[224.46-227.82] 那我们团队其实做出了非常多的努力
[227.82-231.88] 那我能也布局了很多新的project
[231.88-233.36] 新的市场
[233.36-236.74] 那因此我认为今年会是开花结果的一年
[236.74-238.38] 因此我们定调25年
[238.38-239.30] 会是一个高速成长的一年
[239.30-240.58] 成长的元年
[240.58-242.38] 那我们主要的四个业务
[242.38-246.94] 从这个光电 除能 绿电交易到水处理
[246.94-249.44] 我们皆渴望就是会有成长
[249.44-252.16] 那我们这个将加总这个营收
[252.16-255.70] 就是我们总体的这个营运也有望
[255.70-258.64] 可能就是会超越过去的这个
[258.64-261.10] 就是过去的记录创下一些新高
[261.10-263.10] 这是我们对自己的期待
[263.10-263.98] 那接着呢
[263.98-268.42] 我们开始讲我们积极布局的这个东北亚到东南亚这个海外市场呢
[268.42-268.76] 嗯
[268.76-271.06] 东南亚部分菲律宾大家看到很多
[271.06-272.86] 在这个光电的部分
[272.86-274.14] 然后接下来日本
[274.14-275.42] 除能的部分
[275.42-276.18] 然后到越南
[276.18-278.48] 其实我们的这个专案进行下都很顺利
[278.48-284.88] 那我们今年应该有望就可以开始贡献这个营收和获利
[284.88-288.72] 除此之外我们提到了刚才上面讲的圆饼图多元营收的部分
[288.72-290.26] 我们看到天然
[290.26-292.56] 天然绿电其实我们绿电交易的部分
[292.56-296.66] 我没有就是规划在近期会进入资本市场
[296.66-297.94] 那其实我们也有想要进入资本市场
[298.76-300.56] 其实除了光电以外
[300.56-304.90] 我们很多这种绿能的专案我们也都是很积极的在开发
[304.90-311.04] 那之后如果有一些消息进展的话我们跟投资先进和媒体们分分享
[311.04-312.32] 接着第3点
[312.32-315.40] 我们最近开展了一个新的业务
[315.40-317.96] 叫做我们的这个asset management的这个业务
[317.96-318.98] 资产管理
[318.98-323.84] 那后面我会做更多说明但是我们的目标就是在明年
[323.84-324.88] 我们的AUM
[324.88-327.44] 这项业务的AUM要达到10亿美金
[327.44-333.08] 那第4点就是一直以来我们都保持着产业领先的ROE
[333.08-335.88] 那这个目标不变我们还是会
[335.88-337.68] 一直努力去达成
[337.68-340.50] 那同时我们会提供稳定
[340.50-343.06] 或成长的这个股利发放
[343.06-344.84] 我们董事会已经通过了
[344.84-347.16] 就是我们会配5块的现金股利
[347.16-352.02] 那在payout ratio是60%
[352.02-352.78] 好那
[352.78-354.84] 对于我们今年对自己这个
[354.84-356.62] 营运的这个展望啊
[356.62-358.42] 刚才前面是一个我先讲
[358.42-359.94] 把重点都提给大家
