[0.00-3.40] 各位投資先進午安
[3.40-4.30] 歡迎大家參加
[4.30-7.02] 富爾運通的線上法人說明會
[7.02-8.04] 那首先的話
[8.04-9.58] 先請各位看一下
[9.58-10.82] 政交所宣傳
[10.82-13.96] 宣導的一個反詐騙影片
[30.00-51.48] 謝謝投資人看完這個
[51.48-53.66] 政交所宣傳的反詐影片
[53.66-55.32] 那今天富爾運通的
[55.32-56.72] 與會的經營團隊是
[56.72-59.32] 潘豪鑫總經理跟林坤賢財務長
[59.32-59.98] 那歡迎大家參加
[59.98-60.70] 歡迎他們兩位
[60.70-62.44] 那接下來時間就交給潘總
[62.44-62.88] 謝謝
[62.88-63.86] 好
[63.86-65.86] 好再投
[65.86-66.98] OK
[67.54-79.76] 請問各位投資先
[79.76-81.74] 有看到畫面嗎
[81.74-84.84] 有有看到畫面
[84.84-86.22] 那再麻煩坤賢
[86.22-88.06] 全螢幕一下
[88.06-88.66] 對謝謝
[88.66-89.26] 好
[89.98-90.98] 好
[90.98-91.98] 好
[91.98-92.98] 好
[92.98-93.38] 大家好
[93.38-95.98] 我是富爾運通總經理潘豪鑫
[95.98-97.98] 那感謝各位投資先進
[97.98-101.98] 來參加我們今年第一場的線上法說
[101.98-104.98] 那接下來由我來針對公司
[104.98-106.48] 目前的營運概括
[106.48-110.98] 以及展望的部分來跟大家做一個報告
[110.98-113.98] 那首先這個是免責聲明
[113.98-118.98] 請各位投資先進做參考
[118.98-119.98] 好
[119.98-121.98] 接下來我們會分五個品項
[121.98-123.98] 來跟大家做一個說明
[123.98-127.98] 那我相信過去蠻多投資先進
[127.98-130.98] 其實已經有來參加過我們的法說
[130.98-133.98] 那因為怕有興進的
[133.98-135.98] 對我們公司有興趣的投資先進
[135.98-139.98] 所以我們還是大概針對公司目前的營業事項
[139.98-142.98] 以及概要來做一個說明
[142.98-147.98] 那我們公司大概目前
[147.98-148.98] 我們成立2000年以來
[148.98-151.98] 我們已經在2021年
[151.98-156.98] 那2024年去年我們已經完成上市掛牌
