[0.00-12.98] 我们这位同志先听大家好
[12.98-15.24] 那接下来由我们周财生
[15.24-17.46] 为各位带来
[17.46-19.52] 今年第一季的法轮送礼会
[19.52-20.76] 那我们现在就请
[20.76-22.92] 财务长师财务长来为各位说
[22.92-23.34] 谢谢
[23.34-27.70] 各位同志先听大家好
[27.70-29.62] 谢谢各位一年来
[29.62-31.60] 参加中台的法轮送会
[31.60-34.32] 今天我们大概会分成
[34.32-36.04] 五个部分跟各位简报
[36.04-37.54] 那一个是关于
[37.54-38.90] 一些技能介绍
[38.90-40.26] 还有一些产业的改革
[40.26-41.56] 和解决方案
[41.56-43.12] 另外我们也会带到
[43.12-45.72] 最后中间会谈到财务的部分
[45.72-47.16] 以及未来的情况
[47.16-48.78] 那我们现在就去
[48.78-52.58] 帮各位在简节会
[52.58-54.98] 走向我们中台的竞争同时
[54.98-57.68] 那关于我们中台的部分
[57.70-59.34] 我们已经是一个成立了
[59.34-61.60] 二十多年的公司
[61.60-65.00] 我们的愿景利用后生
[65.00-67.40] 就是一种附近企业的概念
[67.40-69.86] 能够持续发展原料化产业化
[69.86-71.80] 以及能够发展各种解决方案
[71.80-73.80] 成为产业的供应链
[73.80-75.80] 那下面是我们的
[75.80-77.20] 公司的解决方案
[77.20-79.50] 等一下我们后续会录取一些报告
[79.50-81.50] 好
[81.50-83.50] 我们公司的一个使命就是
[83.50-86.20] 创新技术造经济增型资源
[86.20-87.70] 永续的概念
[87.70-89.70] 一直不断的在发展
[89.70-93.70] 就是从循环经济到现在的永续环境
[93.70-95.70] 我们的董上之郑光杰先生
[95.70-97.70] 也是我们公司的创办人之一
[97.70-100.70] 他现在目前我们的资本额是
[100.70-104.70] 还到了9000万多万
[104.70-106.70] 目前年功人数有1.9十个人
[106.70-109.70] 他也在去年的时候成为
[109.70-111.70] 排股的公司公司
[111.70-113.70] 公司公司是6920万
[113.70-115.70] 那讲说我们的历史
[115.70-117.70] 那我们最早创造20
[117.70-119.70] 2001年和2002年的时候
[119.70-121.70] 开始从被造品专管的
[121.70-123.70] 回收处理起家
[123.70-127.70] 然后慢慢慢慢在2008年的时候
[127.70-129.70] 到华宝科学园去成立
[129.70-132.70] 那时候邀请一些华宝的厂商进驻
[132.70-135.70] 那我们也成为第一家进驻
[135.70-138.70] 在这个桃园科的一个华宝处理厂
[138.70-140.70] 那随着时间的经过
[140.70-143.70] 我们又用虚心的也做了很多扩展
[143.70-145.70] 到2014年的时候
[145.70-147.70] 我们又顺势的又盖了一个
[147.70-149.70] 中海的三厂
[149.70-151.70] 那这个主要是做被PCB的回收
[151.70-153.70] 那一直到2019年
[153.70-155.70] 那时候我们看到被机路的处理需求
[155.70-157.70] 越来越大
[157.70-159.70] 所以我们也开始着手来带我们的
[159.70-162.70] 中海智能循环机器创始联发中心
[162.70-164.70] 那我们简单中海一层
[164.70-166.70] 那在三年前的时候
[166.70-168.70] 我们也到了许可镇
[168.70-170.70] 那目前也已经领域满了
[170.70-174.70] 在2002年我们新归2004年的时候
[174.70-176.70] 这边展开了
[177.70-180.70] 那在组织的架构上
[180.70-183.70] 其实跟一般上市费公司都差异不大
[183.70-186.70] 但是我们特别针对我们的环保处理业
[186.70-187.70] 所专注的项目
[187.70-189.70] 像是职安
[189.70-190.70] 网安
[190.70-192.70] 还有循环经济以及创新研发
[192.70-194.70] 我们的工作的宗旨
[194.70-197.70] 特别独立的视点
[197.70-199.70] 叫我们从经理职业的管辖来
[199.70-201.70] 促进我们的营业效率
[201.70-205.70] 那我们目前中海共有三个处理厂
[205.70-207.70] 它都在桃园科的处理厂中
[207.70-208.70] 关一
[208.70-210.70] 这三个处理厂都非常的近
[210.70-212.70] 都在500公尺以内
[212.70-213.70] 它可以互相的支援
[213.70-215.70] 我们共发挥最大的效率
[215.70-218.70] 那这一面
[218.70-219.70] 可以让各位看到
[219.70-221.70] 是我们中海三个厂
[221.70-224.70] 以及我们现在最新的环境整治工程
[224.70-227.70] 最资深的厂是看到左下角的中海
[227.70-230.70] 是从2008年开始营运
[230.70-232.70] 刚才有提到的企创业
[232.70-235.70] 被创了光源还有韩国飞行物的处理
[235.70-237.70] 那另外在60年代的部分
[237.70-239.70] 我们的这个三个厂都还在三大
[239.70-241.70] 主要是被PCB管的回收
[241.70-247.70] 那我们的这个算是一个典范的全回收的处理部署
[247.70-249.70] 那另外刚才有提到三年前
[249.70-252.70] 也是目前提到的成长共同台厅厂
[252.70-255.70] 那它是一个清水模的外观
[255.70-256.70] 在那里的关系
[256.70-262.70] 那我们现在多以以文化为主的飞机路处理中心
[262.70-264.70] 目前我们的市占率
[264.70-267.70] 如果focus在纽海世界飞机路的问题
[267.70-270.70] 我们的文化商量还是在30%
[270.70-272.70] 那另外在前年开始
[272.70-276.70] 我们也有跨主要环境整治工程的领域
[276.70-278.70] 慢慢就是能够将我们的一厂
[278.70-280.70] 二厂三厂的技术
[280.70-282.70] 能够落实到发挥
[282.70-285.70] 为环境做出更多的贡献
[285.70-288.70] 那各位现在看到这张slide
[288.70-290.70] 是一个循环
[290.70-292.70] 它就是一个循环的概念
[292.70-295.70] 中海在演一个关键的角色
[295.70-297.70] 我们中座的一个人物
[297.70-299.70] 我们在左边
[299.70-302.70] 最高科技的这些产业
[302.70-304.70] 不管是半导体还是面板
[304.70-306.70] 那他们光线亮丽
[306.70-308.70] 是也会产生一些废弃物
[308.70-312.70] 那经过中海的这边循环的处理之后
[312.70-315.70] 我们可以把高科技产业的废弃物
[315.70-317.70] 能够适当妥善的处理
[317.70-319.70] 也可以再补充一些资源
[319.70-321.70] 再回到工业的制程中
[321.70-325.70] 那它就是一个能资源的价值循环系统
[325.70-327.70] 那讲到后面
[327.70-329.70] 我们的发报处理厂
[329.70-332.70] 其实中海最重要的就是守规
[332.70-334.70] 除了中海本身
[334.70-336.70] 我们三个处理厂都有各自的甲级
[336.70-338.70] 肥肌物处理许可证之外
[338.70-342.70] 那中海也有一张甲级和新处许可证
[342.70-345.70] 以及环境组织诊据
[345.70-348.70] 那另外在员工的投入上面
[348.70-351.70] 我们的员工虽然只有190个人
[351.70-355.70] 但是我们在职业安全环保消防上面
[355.70-359.70] 都有148张的专业级的证照
[359.70-362.70] 那这证明说我们在人员的培训
[362.70-364.70] 和人员的投入上
[364.70-366.70] 希望能够藉由这些的训练和证照
[366.70-370.70] 来取得来加强人员绿领的素质
[370.70-372.70] 那除了人证之外
[372.70-374.70] 在地皮上面
[374.70-377.70] 像中海有建置200名实验室
[377.70-379.70] 全面控管就是
[379.70-381.70] 我们不管是进来的废弃物的原料
[381.70-383.70] 或者是将来我们要出去的这些转化的资源
[383.70-384.70] 我们都可以去处理它们的需要
[384.70-386.70] 就是我们做这些转化的资源的产品
[386.70-388.70] 我们都做适当的品质管制
[388.70-390.70] 也做很多的环境监测
[390.70-392.70] 还有统络的员工健康
[392.70-394.70] 那这也是非洲主义场
[394.70-396.70] 少见的灾政部分的方式
[396.70-400.70] 另外在制度上面
[400.70-402.70] 我们特别讨论了ISO 45001的
[402.70-404.70] 基亚安全卫生系统
[404.70-407.70] 以及ISO D4001的环境管理系统
[407.70-409.70] 从制度面下手
[409.70-412.70] 需要能够透过制度办人员的培训
[412.70-414.70] 让客户能够放心
[414.70-416.70] 将他的废弃物交给我们中台
[416.70-422.70] 那刚才讲到物体
[422.70-424.70] 讲到制度
[424.70-426.70] 再来最底线的绩效
[426.70-428.70] 再来像我们的中台二厂
[428.70-432.70] 是已经连续14年获得桃园市的黑集机要处理的厂商
[432.70-434.70] 那三厂也是连续8年
[434.70-436.70] 那这些都是显示
[436.70-438.70] 中台的投入
[438.70-440.70] 获得政府的肯定
[440.70-442.70] 那如果我们刚才有提到
[442.70-444.70] 非栖物处理的厂商
[444.70-446.70] 那这些都是
