[0.00-2.60] 我們把時間交給吳泰成代理發言人
[4.80-7.84] 謝謝各位先進來參加
[7.84-10.40] 富威電力上市後第一次的訪問會
[10.40-11.76] 我是今天的主講人
[11.76-12.96] 代理發言人吳泰成
[12.96-14.56] 請各位多多指教
[16.64-19.60] 免責聲明的部分還是請大家看一下
[24.40-26.16] 今天的部分則還是會先從
[26.16-27.60] 公司簡介財務狀況
[27.60-30.00] 三大事業部運營狀況
[30.00-32.80] 跟一些轉投資的子公司的一些現況
[32.80-34.24] 來跟大家先進說明
[37.36-40.48] 公司的簡介部分會先講基礎資料
[40.48-41.36] 其他會布局
[41.36-44.00] 一些我們過去的重要里程碑與時機
[45.84-47.84] 富威電力在2019年成立的
[47.84-49.52] 2023年公開發行
[49.52-51.92] 今年1月的時候掛牌上市
[51.92-54.64] 目前的時收資本是7億零5百萬
[54.64-56.08] 員工人數72人
[56.08-57.52] 董事長是我們的胡惠生
[57.52-57.56] 我們是我們的胡惠生
[57.56-57.60] 董事長是我們的胡惠生
[57.60-58.64] 胡董事長
[58.64-60.64] 總經理是我們的郝霞瑝
[60.64-61.44] 郝總經理
[65.92-67.84] 富威電力是振威集合
[67.84-69.92] 振威能源光供水氣大平台
[69.92-71.68] 布局的一個重要的一環
[71.68-73.20] 本業的部分是
[73.20-75.68] 預電交易節能跟儲能的
[77.04-78.32] 我們還轉投資了
[78.32-80.16] 碳排查相關的區位認證
[80.16-82.56] 以及開發電力系統軟體應用的
[82.56-83.44] 自電系統
[87.60-90.64] 富威電力是2019年成立的
[90.64-92.72] 同年的12月我們就取得了
[92.72-93.84] 受電業執照
[93.84-96.80] 2020年也完成了第一次轉工
[96.80-101.04] 是台灣首批綠電轉工的受電業
[101.04-103.04] 2020年到2023年
[103.04-105.68] 我們開始開發所謂的綠電平台
[105.68-107.84] 也受到客戶的肯定
[107.84-109.24] 受頒了中華電信的
[109.24-111.36] 經濟有序供應獻獎
[111.36-114.24] 第一座我們DRAC的7MW
[114.24-117.36] 儲能案也上線交易
