[0.00-3.32] 请到南天的Kurt 蒋博森经理来给我们大家读讲
[3.58-5.16] 那现在时间我们就先交给
[15.36-16.12] 一样就是
[16.64-19.20] 先从公司里面概括然后
[21.00-22.02] 再给
[24.84-26.36] 那这是免责声明
[26.62-28.42] 请大家参考
[30.00-32.30] 那现在一层
[32.56-34.60] 公司开放
[34.86-36.66] 在去年
[39.48-41.26] 那就是我们的
[41.78-42.80] 产品外卖方
[46.38-49.96] 我们是那样塑胶的转投资
[50.22-51.50] 我们主要是
[54.32-58.16] 去年去年一月大概是落在320%
[58.42-58.92] 巴黎
[59.44-59.96] 跟
[60.26-61.80] 那是比2023年
[62.04-63.08] 再下滑
[63.32-64.86] 那时候还是因为受到
[66.14-67.16] 对调整跟
[67.68-68.96] 跟那个
[69.22-70.76] 消费性的需求
[72.80-75.88] 那截至去年底的市值是
[76.12-77.16] 22.7
[77.66-79.20] 那我们生产地区是在
[82.28-84.06] 那这个是公司严格
[84.32-87.40] 那其实不要的方式我们大概在
[87.90-89.70] 2019年的时候因为那时候的
[90.26-92.56] 上口关系我们会在昆山有过
[92.82-95.38] PBF的生产线
[95.64-97.16] 那都会继续在
[98.20-99.72] 在2021年
[99.98-100.76] 开始投产
[101.26-102.80] 那都会继续在昆山也
[103.06-106.64] 开始设立一个新的PBF生产线
[108.44-111.76] 那这次财务状况近三年的
[112.02-113.80] 比例大家可以看到就是
[114.06-117.14] 使每年的YY大幅度下降幅度都蛮好
[117.64-118.42] 因为
[118.68-119.96] 比方说是2012年的时候
[120.26-120.76] 是全年
[121.02-122.04] 近期的高点
[122.30-122.82] 那
[123.08-124.36] 这个就是
[124.60-126.40] 还是有一些异形同例的
[126.66-127.16] 受惠
[127.68-128.20] 那所以
[128.44-129.22] 当年度的
[130.24-131.26] 电气用户加好
[131.52-134.34] 那时候就做到240.4D
[135.10-138.44] 那23年就开始就一步的调整
[138.68-139.72] 然后相关的
[139.96-142.02] 消费性电子的产品消费都减少
[142.78-143.30] 所以
[143.56-146.36] 23年比22年大概下滑34.6
[146.36-151.74] 那24年这边就是我们网络产品的调整
[152.00-152.50] 然后
[152.76-153.78] 这张消费
[154.04-157.36] 有一样去年AIMC的销售也略低于预期
[157.62-158.64] 所以去年
[159.16-163.00] 24年的营收比23.6%
[165.56-170.16] 去年全年市纪上看起来就是
[170.42-172.48] 第一季是地均底
[172.72-175.04] 第二季开始就是我们在量产的
[175.28-176.32] CAPEX的载房
[176.62-177.64] 这样今年
[177.90-178.66] 2Q的时候
[178.92-179.94] 体力有所好一点
[180.72-182.00] 所以QQ成长是
[182.24-183.28] 14.4%
[183.78-185.84] 那第三季的话是
[186.08-186.86] 传统旺季
[187.12-189.16] 那再加上800G的交换
[189.42-190.96] 是在这边开始
[191.20-192.74] 跟配合购买量产
[193.00-195.04] 所以第三季占比第二季成长
[195.30-196.58] 13.2%
[197.10-199.40] 那第四季是传统的电子
[199.66-200.16] 电子弹机
[200.42-201.70] 调费性电子弹机
[201.96-204.26] 那尤其是游戏机的需求比较低
[204.78-205.28] 那所以
[205.54-206.06] 4Q比
[206.36-210.72] 3Q就下滑14.4%
[212.50-214.56] 那近三年的那个
[215.06-216.60] 货运收益框还讲话
[216.86-217.62] 23年的
[217.88-219.68] 货运就显著比
[219.92-220.96] 22年要来的
[221.20-221.72] 减少
[221.98-222.74] 那还是跟
[223.00-223.76] 刚刚提到一样
[224.02-225.04] 就是库存调整影响
[225.30-226.08] 然后
[226.32-228.88] 再加上整个的ABF的over supply
[229.14-230.94] 那价格的竞争压力也比较严重
[231.20-232.98] 所以大家说从23年的
[233.50-234.52] 营业利率大概就从
[234.78-235.80] 22年的36.5%
[236.36-237.12] 下滑到
[237.38-238.16] 15%
[238.66-240.72] 那去年全年的
[241.22-244.04] 营业利也因为我们网络产品需求比较弱
[244.30-246.08] 比如说WIM桌显
[246.60-247.88] 一定也会影响到货运
[248.14-251.98] 所以去年其实在我们的本业部分是亏损了3.6%
[255.56-258.38] 去年全年每一季来看的话
[258.88-260.16] 就是
[260.42-262.48] 第一季就是亏损就比较严重
[262.72-264.00] 第一季亏损
[265.04-265.54] 营业利
[265.54-266.32] 营业的亏损大概是
[266.62-267.64] 11.25%
[267.90-269.68] 然后二季就是AIP
[270.46-272.00] 记忆体需求又比较好
[272.24-272.76] 所以
[273.28-275.06] 亏损就比较缩小
[275.32-278.14] 营业利率是负的20%
