[0.00-29.98] 詞詞曲 李宗盛
[30.00-59.98] 詞曲 李宗盛
[60.00-89.98] 詞曲 李宗盛
[90.00-119.98] 詞曲 李宗盛
[120.02-129.02] 詞曲 李宗盛
[129.02-139.02] 詞曲 李宗盛
[139.02-149.02] 詞曲 李宗盛
[149.02-149.98] 詞曲 李宗盛
[150.02-159.02] 詞曲 李宗盛
[159.02-167.02] 詞曲 李宗盛
[167.02-175.02] 詞曲 李宗盛
[175.02-179.02] 詞曲 李宗盛
[179.04-188.04] 詞曲 李宗盛
[188.04-194.04] 詞曲 李宗盛
[194.04-204.04] 詞曲 李宗盛
[204.04-214.04] 詞曲 李宗盛
[214.14-216.04] 詞曲 李宗盛
[216.06-227.02] 詞曲 李宗盛
[227.06-229.02] 詞曲 李宗盛
[229.02-231.08] 詞曲 李宗盛
[231.08-233.14] 詞曲 李宗盛
[233.14-233.94] 詞曲 李宗盛
[233.94-233.96] 詞曲 李宗盛
[233.96-234.02] 詞曲 李宗盛
[234.02-238.62] 現在對於產業及客戶的一些看法所做的一些預估值
[238.62-245.88] 先介紹我們在2024年第四季的一個表現
[245.88-251.16] 長華科技在2024年第四季營收來到31.69億
[251.16-252.80] QOQ是1%
[252.80-257.08] 其實這個是符合我們當初在11月初颱風節過後
[257.08-260.48] 我們所做的一個展望的營收的一個區間
[260.48-262.78] 那當然是位在下緣左右
[262.78-266.48] 但是我們是符合整個營收的一個預期值的
[266.48-269.06] 營業毛利略微不如預期
[269.06-273.90] 主要是因為我們在第四季consumer的比重是提高的
[273.90-278.84] 那車規工規這些高毛利高單價的一些產品
[278.84-281.72] 它的出貨比重是比較下滑的
[281.72-282.86] 就第三季來看
[282.86-286.60] 所以大家可以看到我們在第四季的一個毛利率
[286.60-292.56] 整個單季毛利率從第三季的25.2下滑到23.6
[292.56-292.76] 所以我們在第四季的一個毛利率
[292.78-296.84] 那其實這也是呼應剛剛我跟各位說的長滑的毛利率一樣
[296.84-300.10] 因為長滑剛剛報告是合併報表
[300.10-302.20] 這個是包括長科的部分
[302.20-307.78] 所以長滑長科都是受到產品組合的變化所造成的
[307.78-309.54] 所以毛利率是下滑的
[309.54-314.04] 那大家看到在營業外這一塊也是有一些匯兌的一個收入
[314.04-318.54] 因為第三季普遍大家都是有一些匯兌損失
[318.54-320.56] 但是第四季都有更一些回來
[320.56-322.56] 所以加季整個營業外損失是有的
[322.56-325.14] 絕對 corporations ARE
[325.14-325.54] 總結一下
[325.54-327.32] 其實說 pessoa
[327.32-329.62] GF resignation
[329.62-330.86] 這個不受到 statewideノ
[330.86-332.52] 但是對於 fascist abuse
[332.52-333.56] 失去公鮮 fluffy
[333.56-334.60] Covid 是有的
[334.60-335.56] 行政局層
[335.56-336.34] X força
[336.34-337.50] 那這裡很多人i
[337.50-339.58] Board
[339.58-341.08] absolute
[341.08-342.40] 一個而The
[342.40-343.00] 其實因為還是雖然說
[343.00-344.30] 而且抓到了皮肉
[344.30-346.12] 而且不過對於je Tong
[346.12-347.48] 所以也給大家再看
[347.48-348.60] 最後
[349.72-350.60] 我剛剛就說一下
[350.60-351.60] arse billions
[351.60-352.56] GF
[352.56-357.46] 甚至比2023年第四季大幅成長了93%
[357.46-360.08] 這個是在長華科技
[360.08-364.54] 在2024年第四季的一個字節數
[364.54-369.82] 就全年的一個累計字節來看
[369.82-374.12] 我們2024年整個營收將近120億
[374.12-376.62] YY是來到4%
[376.62-379.40] 大家看到其實就毛利率來看的話
[379.40-382.44] 我們是從原來2023年的22.5%
[382.44-384.44] 來到24.1%
[384.44-389.82] 所以毛利率的表現是優於2023年全年的一個表現
[389.82-393.58] 在加計一些營業外收之後
[393.58-397.94] 歸屬於母公司是18.96億
[397.94-402.68] 那個也比2023年的一個表現來得好
[402.68-404.68] 兩成左右
[404.68-408.14] 如果以每股0.4的一個面額計算的話
[408.14-410.48] EPS是2.02
[410.48-411.78] 這個比2023年
[411.78-412.42] 大幅成長
[412.42-413.96] 成長了21%
[413.96-419.84] 也就是說我們雖然去年度2024年營收值小幅成長了4%
[419.84-423.30] 但是我們在獲利的部分是大幅成長了21%
[423.30-429.50] 而且毛利率我們是從22.5上揚到24.1
[429.50-432.44] 那接著在整個
[432.44-433.98] 以製程比來看
[433.98-436.86] 大家如果有follow整個常客的狀況都知道
[436.86-439.26] 其實我們是一直希望
[439.26-441.62] 時刻的占比能夠足跡喔
[441.62-442.26] 足跡的一個往上來看喔
[442.26-446.36] 那當然我們如果從2024年第四季來看的話
[446.36-446.86] 時刻
[446.86-448.66] 時刻已經來到55%
[448.66-449.94] 已經來到55%
[449.94-453.26] 在2023年的同期也才49%
[453.26-457.10] 那最主要是因為一些高階的一些新產品
[457.10-459.16] 其實他都是需要時刻
[459.16-460.94] 時刻去做前段的一個製程
[460.94-463.76] 那就整個年度累計來看喔
[463.76-466.06] 時刻也超過了沖壓
[466.06-469.40] 我們在2024年整個時刻的一個製程
[469.40-472.12] 占營收比已經來到53%了
[472.12-473.14] 53%
[473.14-475.20] 那這個最主要還是因為
[475.20-476.72] 相關的一個
[476.72-478.26] 時刻的一個產品線喔
[478.26-481.34] 那他的一個絕對金額都是有成長的
[481.34-483.12] 如果我們就年度來看
[483.12-484.16] 就年度來看
[484.16-486.72] 時刻所貢獻的營收
[486.72-490.30] 2024年是比2023年成長的兩成
[490.30-491.06] 成長兩成
[491.06-492.60] 這個當然是遠高於啊
[492.60-493.88] 遠高於我們在
[493.88-499.26] 整個合併營收的4%左右的一個營收成長的一個比例喔
[499.26-500.28] 那接下來在單季我們如果以產品面積的比例來看的話呢
[500.28-501.04] 那接下來在單季我們如果以產品面積的一個產品面積的一個比例喔
[501.04-502.08] 那接下來在單季我們如果以產品面積的一個產品面積的一個比例喔
[502.12-503.66] 那接下來在單季我們如果以產品面積的一個營收成長的一個比例喔
[503.66-505.44] 那大家看到其實這個
[505.44-507.76] 整個就營收佔比來看很明顯
[507.76-509.54] 大家可以看到我們在4Q
[509.54-512.62] 跟2023年第四季喔
[512.62-515.18] 就整個一個同個季度來看
[515.18-517.48] 去年第四季的QFN比重
[517.48-520.04] 來到29%
[520.04-523.36] 那這就是我剛剛所說的因為第四季其實consumer
[523.36-525.42] 表現的是比較好的
[525.42-526.70] 那當然QFN
[526.70-529.52] 很多都是用在consumer的一個應用領域上
[529.52-532.08] 所以我們在QFN第四季單季的比例
[532.08-532.10] 所以我們在QFN第四季單季的比例喔
[532.10-534.92] 占比其實來到將近三成喔
[534.92-536.46] 來到29%
[536.46-537.74] 那當然它的一個
[537.74-540.30] 絕對金額的一個成長是將近五成喔
[540.30-542.34] 如果以就YY的角度
[542.34-545.92] 也就是說2024年第四季整個QFN的一個營收貢獻
[545.92-551.30] 它的一個成長是比2023年第四季成長的將近五成
[551.30-554.12] 那這是全年喔那全年其實
[554.12-558.22] 跟2024年第四季的表現其實差異不大為什麼
[558.22-558.98] 因為
[558.98-562.06] 全年來看也是QFN的一個成長是最為明顯
[562.06-563.34] 大家看到
[563.34-568.20] 2024年全年整個QFN的一個占比來到26%
[568.20-572.56] 那QFN就是車規跟公規比較多的QFP其實它是15%
[572.56-574.10] 這個占比是不變的
[574.10-576.90] 那如果以整個絕對金額來看的話
[576.90-579.46] 也是以QFN成長將近四成喔
[579.46-580.50] 來的比較明顯
[580.50-582.02] 那其他的一個營收
[582.02-583.56] 包括我們
[583.56-587.14] 等一下會去提到的一個EMC LED的一個營收喔
[587.14-589.46] 那它的一個絕對金額也是成長的
[589.46-592.02] 因為它的比重都還是維持在9%
[592.02-597.66] 那這個是以整個一個產品別營收組合去做分類喔
[597.66-599.44] 那我們最後再用
[599.44-601.24] 下游的一個應用
[601.24-602.78] 應用別去區分
[602.78-603.80] 大家可以看到
[603.80-608.66] 在2024年第四季喔consumer來到47%
[608.66-613.02] 這個consumer的比重在2024年第三季單季是43%
[613.02-613.78] 也就是說它從
[613.78-615.06] 它第四季是
[615.06-617.36] 大幅提高到47%
[617.36-621.98] 這也是導致整個長歌在2024年第四季單季滿載的比重是
[622.02-624.84] 在毛利率下滑的主要的原因
[624.84-626.12] 主要的原因
[626.12-627.40] 那但我還是要強調啊
[627.40-628.16] 至少
[628.16-631.24] 我們在2024年第四季的單季營收
[631.24-633.80] 是還是比第3季成長1%
[633.80-634.82] 所以
[634.82-636.62] 整個consumer的上來
[636.62-642.50] 它是影響到毛利率但是我們整個絕對的營收其實還是成長的喔
[642.50-644.30] 那這個是2024年
[644.30-647.88] 2024年整個一個Pi chart的一個改變喔
[647.88-649.42] 那這個也是非常明顯
[649.42-651.46] 整個consumer來到46%
[652.02-654.84] 那車規跟公規的部分
[654.84-657.66] 加起來大概是51%左右
[657.66-659.18] 也就是其實
[659.18-661.74] 我們過去一直強調我們還是希望
[661.74-663.80] 希望能夠做一個比較
[663.80-665.58] 穩定的一個佈局
[665.58-667.12] 所以我們希望
[667.12-668.92] consumer跟非consumer
[668.92-671.22] consumer的部分都能夠占各半
[671.22-673.52] 那如果以2024年的表現來看喔
[673.52-674.30] 其實
[674.30-675.58] consumer的
[675.58-678.38] 絕對金額是比2023年
[678.38-679.92] 成長了兩成
[679.92-680.70] 成長兩成
[680.70-681.98] 那車規跟公規
[682.02-682.78] 其實是
[682.78-685.60] 比2023年掉了將近一成左右
[685.60-686.62] 一成左右
[686.62-689.96] 這個是大概是我們如果從整個下游應用
[689.96-691.24] 去做區分
[691.24-693.54] 去做區分
[693.54-695.34] 的一個說明喔
[695.34-699.18] 那最後在智傑的資產負債表來看的話
[699.18-701.74] 那比較重要的我跟各位提幾個就是說
[701.74-702.76] 我們在
[702.76-704.80] 第四季的一個現金跟資
[704.80-706.08] 金融資產這邊
[706.08-709.66] 有一些減少那這個最主要是因為我們有一些
[709.66-710.94] 還了一些
[710.94-714.02] 短期的借款
[714.02-715.54] 還了一些短期的借款
[715.54-719.64] 所以讓我們現金跟金融資產有一些減少不過這個
[719.64-723.22] 跟營運是沒有關係的是因為我們在長短借的一個
[723.22-724.50] 一個改變喔
[724.50-726.04] 那另外在
[726.04-728.60] 資產總額跟一個
[728.60-730.90] 股東權益的部分喔那因為
[730.90-733.46] 在
[733.46-736.54] 我們的一個非流動的一個金融資產
[736.54-739.10] 公營價值的一個評價的這個因素喔
[739.10-740.90] 所以讓整個資產
[740.94-744.02] 總資產跟我們的股東權益有一些減少
[744.02-745.54] 有些減少這是因為我們
[745.54-746.82] 在一個
[746.82-751.18] 非流動的一個金融資產的一個公營價值的一個評價所影響的
[751.18-754.26] 那在流動負債部分我剛有提到因為我們
[754.26-755.54] 有還一些
[755.54-756.56] 短債
[756.56-757.32] 就是
[757.32-761.94] 流動負債所以流動負債這邊是往下減少的
[761.94-766.28] 那最後在現金流量的部分喔那整個營運活動
[766.28-770.38] 現金流入這邊是增加的那當然就是因為我們
[770.38-770.90] 第四季的
[770.94-775.54] 我們第四季的一個稅錢是增加的那另外還有一些季節性的一個
[775.54-777.08] 稅是比較少
[777.08-778.88] 比較少所以我們有一些
[778.88-784.26] 在營運活動的現金這邊有一些流入大概是3億多左右
[784.26-785.28] 3億多左右
[785.28-790.90] 那最終我們在自由現金流量都是維持在一定的一個水準至少我們還是比第3季
[790.90-793.72] 有一個增加3億左右的一個
[793.72-796.28] 自由現金流量
[796.28-799.86] 那這大概就是我們在一個自結束
[799.86-800.38] 對
[800.38-805.50] Income Statement還有現金流量還有資產負債表的一個
[805.50-807.30] 簡短的一個說明喔
[807.30-811.38] 那最後我們提供我們每一季的一個
[811.38-813.18] 季度的一個Guidance
[813.18-818.04] 那以我們現在所可以看得到的客戶的狀況跟產業的一個
[818.04-820.10] 狀況來看
[820.10-822.66] 在平均匯率32.5
[822.66-825.46] 對1美元的一個假設基礎
[825.46-827.00] 我們預期
[827.00-830.34] 2025年第一季的營收會介在28.5%的一個假設基礎
[830.38-832.42] 大概是在29.8%到30.6%
[832.42-833.96] 1元中間
[833.96-835.76] 那這個
[835.76-839.34] 如果以中位數來看大概是在29.7億
[839.34-841.14] 29.7億
[841.14-843.94] 我們的2025年第一季的Q2Q
[843.94-846.76] 大概會掉6%左右
[846.76-848.04] 6%左右
[848.04-849.32] 如果以
[849.32-851.88] 29.7億的中位數來看的話
[851.88-854.70] 會比2024年第一季營收
[854.70-857.00] 大概成長8到9%
[857.00-858.02] 8到9%
[858.02-858.80] 那
[858.80-860.34] 因為第一季其實是
[860.38-862.42] 現在我們所看到的是
[862.42-866.26] 車規跟公規並沒有很明顯的復甦啦
[866.26-867.04] 所以
[867.04-870.10] 我們大概是認為第一季應該是今年
[870.10-871.90] 表現比較差的一個谷底
[871.90-873.94] 我們當然是希望未來
[873.94-874.72] 能夠
[874.72-875.74] 有機會
[875.74-877.78] 甚至足跡的一個往上
[877.78-880.86] 那如果以這樣一個假設基礎我們是預估我們在
[880.86-882.14] 毛利率的部分
[882.14-885.98] 大概是在21.4到24.4
[885.98-887.52] 21.4到24.4
[887.52-890.34] 中位數大概是22.9左右
[890.38-893.20] 那營業利益率是介在10到14
[893.20-894.22] 10到14
[894.22-898.82] 那我還是強調這個預測的一個數字展望有它的風險性
[898.82-899.86] 所以這個
[899.86-901.90] 僅供各位參考
[901.90-903.70] 那今天我們還是
[903.70-905.22] 請我們的一個
[905.22-911.38] 技術總監來幫我們說明一下長科在mini LED這一塊的最新的一個發展
[911.38-913.42] 還有技術的一個演進
[913.42-914.44] 那我把
[914.44-916.74] 麥克風跟時間交給我們的一個
[916.74-917.52] 總監
[920.38-930.62] 各位投資先進大家好
[930.62-934.46] 我是長華的這個技術顧問
[934.46-938.04] 接下來由我為各位說明一下
[938.04-941.62] 這個長華科技這個導線家在mini LED
[941.62-944.70] 目前的一個發展的一個進程
[944.70-949.30] 那首先我想先從這個
[949.30-950.34] 車用背光
[950.38-953.70] 的這個LED的增長動能這個角度來切入
[953.70-956.02] 那首先我們可以看到就是說
[956.02-958.58] 我們預期2025年整個
[958.58-963.44] 車用的市場它還是呈現一個正成長的一個趨勢
[963.44-965.74] 那整體來看現在就是說
[965.74-969.84] 電動化跟智能化是現在整個車用運用的一個
[969.84-971.12] 發展的重點
[971.12-973.42] 當然這個
[973.42-977.00] 整個車用品牌的這個板塊的移動
[977.00-979.82] 然後新能源車跟傳統的油車
[979.82-981.10] 之間的這些爭奪
[981.10-982.38] 這個目前還
[982.38-983.66] 持續很
[983.66-985.20] 膠著的在發展當中
[985.20-987.50] 但是我們可以看到如果我們從
[987.50-989.04] 背光LED的這個
[989.04-990.32] 成長動能來看
[990.32-991.34] 第一個
[991.34-993.14] 整個成長的量會是
[993.14-994.92] 這個全球的車輛去
[994.92-997.48] 呈上幾個比較關鍵的係數
[997.48-998.00] 第一個
[998.00-999.78] 多平化的趨勢發展
[999.78-1002.10] 各位應該都知道現在的這個
[1002.10-1006.18] 不管是新能源車或者是新世代的智能化車
[1006.18-1009.78] 使用的這個LCD的屏幕已經是過去的可能是三倍能量了
[1009.82-1012.64] 比較高階的機種他們從駕駛
[1012.64-1013.66] 中控
[1013.66-1014.68] 駕駛的娛樂
[1014.68-1016.48] 後座的娛樂這一些
[1016.48-1017.76] 使用的這個LCD
[1017.76-1019.30] 過去傳統
[1019.30-1021.34] 汽車的三倍五倍
[1021.34-1024.92] 所以在即便整個車用數不成長的狀況
[1024.92-1026.72] 在這個使用的頻率
[1026.72-1028.00] 成長這個系統之後
[1028.00-1030.56] 它其實還是一個非常巨量的一個
[1030.56-1031.84] 成長的動力
[1031.84-1033.62] 第二個是大品化
[1033.62-1037.72] 過去我們可能12吋15吋是一般用車的這個
[1037.72-1039.78] 但現在30吋
[1039.82-1043.14] 一體的貫穿屏甚至更大尺寸的
[1043.14-1048.26] 從5加1到負架的這個貫穿屏已經是現在後面這個設計的一個趨勢
[1048.26-1049.80] 這也意味著當
[1049.80-1051.34] 這個使用的屏
[1051.34-1053.64] 屏幕的尺寸加大的同時
[1053.64-1055.18] LED使用的車數也
[1055.18-1056.46] 相對應的增加
[1056.46-1059.54] 另外一個就是為了追求更好的這個顯示效果
[1059.54-1061.84] UVLED的這個滲透
[1061.84-1063.12] 搭配這個多屏
[1063.12-1064.66] 大屏這樣的趨勢
[1064.66-1065.68] 逐個去導入
[1065.68-1068.24] 那這個的成長倍率更是
[1068.24-1069.78] 傳統的這個
[1069.78-1071.82] LED可能它是
[1071.82-1074.90] 將近10倍20倍以上的數量的一個成長
[1074.90-1077.72] 所以在整個車用對光的動能
[1077.72-1083.10] 乘上這幾個係數我們可以預期未來整個LED的這個使用量
[1083.10-1088.22] 還是呈現一個巨幅的一個成長的一個態勢
[1088.22-1090.52] 那從車用的角度切入
[1090.52-1095.12] 長華科技我們一直是一個導線家專業的生產製造商
[1095.12-1099.22] 那因應這一些新型態的設計導入
[1099.22-1102.30] 我們有很多不同的產品結構
[1102.30-1103.82] 產品設計包含
[1103.82-1106.14] 更高的效率的Freeshift的方案
[1106.14-1110.22] 或者是這個垂直式導熱的這個垂直結構的支架方案
[1110.22-1112.28] 甚至是為了配合現在很多
[1112.28-1115.86] 懸浮屏幕需要更薄型化的設計要求的
[1115.86-1117.40] 這個窄邊框的
[1117.40-1119.44] 發光元件的設計方案
[1119.44-1124.56] 這些都是我們持續配合一級的這個車用的風裝大廠
[1124.56-1125.84] 在座開發
[1125.84-1126.86] 我們這個部分
[1126.86-1128.66] 持續在座精進
[1128.66-1133.26] 那除了結構設計我們包含還有新的材料新的製程工藝
[1133.26-1134.80] 持續在座演進
[1134.80-1138.64] 另外一個很重要的因子就是在mini而已的部分
[1138.64-1140.70] 持續有新的產品
[1140.70-1143.50] 那接下來我就想跟各位分享
[1143.50-1147.10] 我們在2025年推出的一個全新的
[1147.10-1151.18] 使用長華這個高導熱的平面散熱支架
[1151.18-1153.24] 整合出來的2525產品
[1153.24-1156.82] 這一個新產品我們預計是在今年開始
[1156.82-1157.84] 正式announce
[1157.84-1158.36] 然後
[1158.66-1160.20] 我們會再講到這個
[1160.20-1163.26] 車用還有消費類的相關的應用
[1163.26-1165.32] 那這個產品的幾個
[1165.32-1169.16] 重要的一個特色首先那是建構在長華科技這個
[1169.16-1171.20] 高導熱的金屬散熱支架上面
[1171.20-1172.48] 那配合
[1172.48-1174.28] 不同的晶片
[1174.28-1175.56] 螢光粉風裝
[1175.56-1178.88] 還有特殊的一次光學設計去滿足
[1178.88-1179.66] 一個
[1179.66-1182.72] 結構設計簡單然後生產製造良率
[1182.72-1183.50] 最終
[1183.50-1186.82] 可以帶來一個成本下降這樣子的一個
[1186.82-1188.62] 成本效益的Total solution
[1188.66-1193.78] 推廣到包含車用跟消費類的各式的miniLED的產品
[1193.78-1197.10] 所以這個產品是我們過去兩年來
[1197.10-1198.64] 整合了所有資源
[1198.64-1200.94] 那我們在今年度會開始
[1200.94-1202.74] 配合我們的這個
[1202.74-1204.28] 銷售同路開始
[1204.28-1205.30] 針對
[1205.30-1206.06] 背光
[1206.06-1209.14] 針對面板甚至是貼腕跟中端的客人
[1209.14-1210.68] 開始做一個推廣的動作
[1214.26-1216.82] 那我再簡單說明miniLED
[1216.82-1218.62] 他過去有一些他設計上的東西是有很多的東西的
[1218.66-1219.94] 他推出的東西是在這個iPad Pro
[1219.94-1225.06] 那時候推出
[1225.06-1231.20] 大家一時為之經驗但是後續很多開始有一些所謂的miniLED會有一些漏光啊
[1231.72-1234.54] 在側面大視角會有一些散光的這些問題
[1234.54-1236.06] 陸陸續續浮現
