[0.00-2.40] 各位投資先進下午好
[2.40-6.40] 歡迎大家今天參加智興科技線上法人說明會
[6.40-9.60] 今日與會的長官有吳景川董事長
[9.60-11.60] 以及唐漢光特主
[11.60-15.20] 會議先由公司進行財務報告
[15.20-16.90] 那再進行QA
[16.90-18.90] 現在有請董事長
[18.90-20.40] 好 謝謝佑銘
[20.40-25.40] 那個先感謝國泰證券給我們這個平台
[25.40-29.20] 那就開始今天的報告
[29.20-31.20] 下一頁
[31.20-34.20] 請您的說明標準的
[34.20-36.20] 好 下一頁
[36.20-42.20] 管區的警告這個也是標準的
[42.20-44.20] 下一頁
[48.20-51.20] 那個去年第四季的
[51.20-53.20] 言說49.76億這個
[53.20-55.20] 大家都已經知道了
[55.20-58.20] 那那個
[58.20-59.20] 那個
[59.20-61.20] 跟去
[61.20-65.20] 跟前年的第四季比YOY是正九趴
[65.20-66.20] 但是
[66.20-69.20] 跟去年第三季比QAQ是降了
[69.20-72.20] 本來是十三
[72.20-73.20] 那
[73.20-75.20] 其實過去兩年
[75.20-77.20] 每年的
[77.20-80.20] 第一季第二季第三季的QAQ都是正的
[80.20-83.20] 然後到第四季也不接受下來
[83.20-84.20] 那
[84.20-87.20] 過去兩年的第四季大概掉下來的都是
[87.20-88.20] 跟
[88.20-91.20] 當年的第一季差不多的金額
[91.20-92.20] 那
[92.20-95.20] 大概是這個規則
[95.20-97.20] 然後
[97.20-99.20] 第四季就是一毛利利值
[99.20-101.20] 剩下才台幣37
[101.20-102.20] 這個
[102.20-103.20] 就
[103.20-107.20] 產品組合還有一部分是
[107.20-112.20] 那個客戶降價這個事情還是遲早要發生
[112.20-114.20] 雖然我們去年
[114.20-117.20] 那個一二三四季的毛利利值幾乎
[117.20-120.20] 基本上都還維持在40以上
[120.20-122.20] 那
[122.20-125.20] 然後我們也盡量避免一個
[125.20-127.20] 大量殺價的市場
[127.20-129.20] 可是大量沒有減錢到最後
[129.20-130.20] 還是
[130.20-132.20] 也有一點點
[132.20-134.20] 影響
[134.20-136.20] 那
[136.20-138.20] 所以
[138.20-139.20] 一個
[139.20-142.20] 營業費用差不多沒有什麼變化
[142.20-143.20] 能夠
[143.20-144.20] 一是
[144.20-147.20] 記得業外收支又跑出來
[147.20-150.20] 有太平有點值
[150.20-152.20] 所以最後就是
[152.20-154.20] EPS4.3
[154.20-156.20] 所以整年
[156.20-159.20] 2020年整年是17.9億
[159.20-161.20] 那第四季是自己的
[161.20-162.20] 下面有
[162.20-164.20] 那個文字說明
[164.20-167.20] 那2023年的EPS是17.33
[167.20-168.20] 所以去年
[168.20-169.20] 那個
[169.20-172.20] EPS稍微增加了一點點
[172.20-175.20] 好
[175.20-176.20] 下一頁
[176.20-178.20] 這個產品
[178.20-179.20] 產品應用者
[179.20-180.20] 分部
[180.20-182.20] 面盤
[182.20-184.20] 去年第
[184.20-186.20] 掉了兩個百分點
[186.20-187.20] 然後
[187.20-188.20] computing這邊
[188.20-190.20] computing就是
[190.20-192.20] 老闆PC收了
[192.20-194.20] 等等這些
[194.20-195.20] 跟PC有關的
[195.20-197.20] 多多的電卡
[197.20-198.20] 那
[198.20-201.20] 這個增加百分之三
[201.20-202.20] 然後TV
[202.20-205.20] 那個電視客戶這邊是
[205.20-206.20] 降了
[206.20-208.20] 那個三個百分點
[208.20-209.20] 然後
[209.20-210.20] 摸的
[210.20-213.20] 從6%增加到7%
[213.20-214.20] 然後
[214.20-215.20] 那個
[215.20-217.20] 我覺得這邊是
[217.20-218.20] 增加百分點
[218.20-219.20] 一個百分點
[219.20-220.20] 然後
[220.20-222.20] 沒有變
[222.20-223.20] 所以
[223.20-224.20] 我們
[224.20-227.20] 不同產業的情況其實
[227.20-230.20] 幾乎這個變化其實都不會來到
[233.20-235.20] 然後
[235.20-241.20] 那個
[241.20-244.20] 可能
[244.20-259.20] 可以
[259.20-261.20] 好像
[261.20-263.20] 可能
[263.20-268.80] 再來就是Deep Sink這個事情
[268.80-273.62] 就是過年前,農曆過年前冒出來
[273.62-279.30] 然後到現在應該是還是每天都有,都是在市民頭角
[279.30-289.46] 然後直接猜測對AI Server的需求到底會怎麼樣子
[289.46-298.36] 這個基本上只能繼續關注,因為這事情根本就目前無法判斷
[298.36-307.18] 要多講一點就是過不到一個禮拜
[307.18-315.08] 美國那幾家Google、OpenAI、Meta這些人
[315.08-318.88] 就都跑出來講說
[318.88-319.38] 我們其實是在做什麼?
[319.38-319.44] 我們其實是在做什麼?
[319.44-323.06] 其實也有這種model,只是之前我們都不show出來而已
[323.06-326.96] 這個考核不到怎麼回事
[326.96-331.34] 好吧,然後第二條就是
[331.34-337.16] 因為我們在問到說那個Edge computing的事情
[337.16-341.00] 因為走到AIPC
[341.00-349.36] 這邊就要講清楚,就是AIPC到之前
