[0.00-12.76] 感谢各位博士先进今天来参加
[12.76-15.46] 莱宝科技的法轮收容会
[15.46-19.94] 那接下来的话我们就交由江云县部长
[19.94-24.84] 为我们说明集团的现况跟发展
[24.84-34.64] 欢迎各位博士的先进朋友
[34.64-36.42] 中间有些新面孔
[36.42-39.04] 有一些是过去就认识的朋友
[39.04-43.94] 等一下我们会update一下莱宝的集团
[43.94-47.78] 因为我们现在手上有几家博士事业
[47.78-51.90] 那他的一些过去半年的一些营运的状况
[51.90-54.08] 那因为去年的营运结果我们在
[54.08-57.86] 去年的博士会和去年的研发也通告了
[57.86-59.54] 那当然如果后面有一些问题
[59.54-62.22] 各位博士朋友们想要了解的
[62.22-64.42] 那都可以等一下我们就一起发问
[64.42-69.90] 那首先我们先谈一下一个东西是
[69.90-71.74] 莱宝这几年来
[71.74-75.04] 当然是一个很大型的一个转型的企划
[75.04-77.30] 那我们针对这些进化上面
[77.30-79.76] 我们先谈一下我们的想法
[79.76-83.62] 首先我们先从所谓的仓促收益的概念来看
[83.62-85.42] 我们先把底子先打好
[85.42-88.80] 所以我们在以下有加工市场管理的公司
[88.80-91.46] 那这个部分就是他们在做的处理
[91.46-94.76] 他们去抽益的一些案子建制的一个部分
[94.76-96.96] 那过去这几年来
[96.96-101.98] 无论是管理的坪数还是说案子的建制
[101.98-104.20] 其实都会附属于在发酵中
[104.20-106.26] 那这个算是打底的工程
[106.26-110.10] 因为有了这个底才能让我们的市场的size
[110.10-112.14] 跟它的未来的营运状况
[112.14-113.34] 还有干净的状况
[113.62-116.38] 那这个是大型的市场管理
[116.38-119.66] 中层次显示器就是来保存的一个本页
[119.66-123.02] 那显示器的部分我想各位为各位说说
[123.02-125.34] 因为显示器状况在这几年来
[125.34-130.64] 它理论上应该是一个产业中期有上一个下来
[130.64-134.02] 但是因为这几年其实显示器都是在相对的低度的状态
[134.02-136.18] 所以显示器状况是没有很好
[136.18-140.76] 可是我们尽量在做到在显示器没有很好的状态的效果
[140.76-143.46] 我们还是可以做到公司现金流量自由
[143.62-147.22] 然后营运上述稳定的客人是有的
[147.22-151.82] 所以我们这几年就会开发出很多比较特别的客户化的客人
[151.82-158.74] 那当然这些比较特别的客人花了我们蛮长的一段时间去复育
[158.74-161.50] 好那这点后面就马上就会直接讲
[161.50-167.62] 那最后一个要让什么转型进化有一个很大突破好的点
[167.62-169.94] 其实就是在能源这一块
[169.94-173.44] 因为前面讲的资产管理是一个大底的工程
[173.62-178.74] 那显示器就是来创造一个长期的一个金流的一个流向
