[0.00-4.30] 我們就準備開始今天的發說會
[7.30-9.30] 大家好 我是張教委
[9.30-11.80] 我是智商電子的執政部長
[11.80-14.90] 然後兼任高照國際的執行長
[14.90-17.30] 然後我也是我們公司的集團的發言人
[19.80-24.00] 那很開心今天大家來參加我們智商電子的發說會
[24.00-28.30] 那今天是2025年4月18號
[28.30-31.10] 那在發說會開始前
[31.10-36.10] 我一樣還是要聲明一下我們的投資安全聲明
[36.10-39.90] 智商電子集團之前瞻性陳述
[39.90-45.10] 可能包括有其無因成果、財務狀況或業務前景之聲明
[45.10-50.30] 其受到已知或未知的風險不確定性及其他因素影響
[50.30-52.30] 除法律規定者外
[52.30-56.70] 本公司所發布之前瞻性陳述均不產生任何負責任
[56.70-58.30] 且本公司並不負責公開
[58.30-61.90] 更新或修改任何預設或其他進程書
[61.90-64.70] 不論應出現新資料
[64.70-68.60] 未來發生未來事件或其他理由依賴
[68.60-70.80] 那此外本報告所載的任何財務資料
[70.80-75.00] 信訊照國際財務報導準則所編制
[75.00-80.60] 那我們首先看一下今天整個法說會議的議程
[80.60-82.50] 那一樣我們會講一下我們集團的概況
[82.50-85.50] 還有我們會提到一些財務資訊
[85.50-88.10] 還有一些我們公司的中央財經的意見
[88.10-89.30] 跟我們的提出的訊息
[89.30-92.30] 然後就會有時間Q&A
[92.30-96.30] 那我先講一下我們集團的概況
[96.30-102.80] 那我們智障集團的公司是智障電子部份的公司
[102.80-104.30] 然後我總公司在台北
[104.30-109.30] 那其實大家很可能對智障應該蠻熟悉的
[109.30-112.80] 我們主要是做電子組件的通路帶
[112.80-117.90] 那包含了記憶體還有Gyro IC NLCC跟TinyController
[118.10-122.30] 然後還有SDI SDI包括了電光片跟電池
[122.30-126.10] 我們前幾次有可能提到我們電池這一塊生意
[126.10-130.30] 在我們東南亞一些兩輪車的市場其實有所進展
[130.30-134.30] 那我們有一些新的產品線包含了Touch跟Snyder
[134.30-140.30] 那Snyder是主要是一些機房場域的一些建置
[140.30-142.30] 我們開始了剛剛一些合作
[142.30-145.30] 那這邊沒有提到我們還有跟那個Noodle石油
[145.30-146.10] 我們還有做一些BP就是一些的權益商品的建設
[146.10-147.10] 我們還有跟那個Noodle石油我們還有做一些BP就是一些的權益商品的建設
[147.10-147.90] 我們還有跟那個Noodle石油我們還有做一些BP就是一些的權益商品的建設
[148.10-157.10] 那因為SERROR因為AI關係這兩年其實算是非常火的營業
[157.10-159.10] 所以圍繞SERROR相關
[159.10-163.10] 之前有提到包含氣冷水冷還有現在比較
[163.10-169.10] 大家比較討論因為散熱的問題有一些沉浸式的一些Emerging的東西
[169.10-174.10] 所以我們也會開始跟Castor就是BP是英國石油來合作
[174.10-177.10] 那我們的紙工是有包含的
[177.10-178.10] 紙工是有包含的
[178.10-183.10] 新知己 南基 高照 高度 高達 高康特
[183.10-187.10] 那新知己主要也是圍繞的手機相關應用的代理產業線
[187.10-192.10] 那也一樣包括Nurse Drive IC Sensor跟PA等等
[192.10-194.10] 那南基主要是MPK相關產品
[194.10-199.10] 包含MPK的APR還有什麼PA
[199.10-201.10] 那它也有Membr可以用
[208.10-217.10] 那高照跟高度的部分
[217.10-219.10] 高照跟高度的部分
[219.10-223.10] 高照跟高度的部分是我們一樣是跟我們母公司集團一樣
[223.10-225.10] 有包含Membrane Truck IC
[225.10-229.10] 還有這些Lyzer Truck IC MFCC的
[229.10-237.10] 那其實在從去年一開始我們MFCC在MFCC就是電動電廠
[237.10-240.10] 我們在China已經掌握了一些很重大的客人
[240.10-242.10] 那包含高度也是
[242.10-247.10] 那高達就是跟像一些DNA相關一些電動機車的面試模組
[247.10-250.10] 那保康特就是我們一些生技資料的產品
[250.10-252.10] 相關的產品
[252.10-255.10] 那這是我們集團的主要的概括
[255.10-259.10] 那再來講一下我們幾個重要的底層
[259.10-262.10] 我們從93年取得了韓國三星的代理
[262.10-266.10] 那在02年取得整個三星整個大陸模型的代理
[266.10-296.10] 那分別在01,01,01,01,01,01,01,01,02,03,04,05,06,07,08,09,09,09,10,11,11,11,12,12,12,13,14,15,16,17,18,20,21,22,23,24,26,27,28,29,29,30,30,31,32,33,34,35,36,37,38,40,39,40,40,41,42,42,44,44,45,46,47,47,48,49,49,49,50,51,52,52,53,55,56,57,59,59,50,58,59,60,61,62,63,65,67,68,60,61,62,63,67,68,69,79,70,70,81,82,62,63,64,65,67,69,84,65,67
[296.10-298.60] 是突破了千億的大關
[298.60-301.60] 那其實Uniqlo維持了很好的動力
[301.60-305.10] 在21年的時候首次突破兩千億
[305.10-307.10] 那這段時間其實
[307.10-309.10] 我也突破了發生了蠻多事情
[309.10-312.10] 包括疫情、封城、貿易機制
[312.10-316.60] 還有俄烏戰爭一些統統的問題
[316.60-321.60] 所以稍微有市場稍微有點熊振
[321.60-324.60] 不過到了去年我們再次突破兩千億
[324.60-329.60] 來到了整個營收的歷史情報大概2370億左右
[329.60-333.60] 這是我們歷遠的狀況 大概是這樣子
