[0.00-14.20] 那各位投资先进下午好
[14.20-18.18] 欢迎各位参加凯基举办振化店的线上法人会议
[18.18-22.60] 那今天主讲的长官是发言人郭玉文财务长
[22.60-26.14] 那我们首先请郭财务长跟各位分享一下
[26.14-28.12] 第一季的营运概况
[28.44-29.60] 财务长麻烦您
[29.60-30.64] 好谢谢
[30.64-34.76] 那首先感谢这个凯基这边的邀请
[34.76-36.36] 那谢谢各位投资先进
[36.36-38.52] 包括来参加这次的一个法授会
[38.52-40.26] 那接下来的会议呢
[40.26-43.58] 我们会跟大家先报告一下公司近期的一个发展
[43.58-45.78] 那如果有一些提问的话
[45.78-47.72] 也欢迎大家可以提出来交流
[47.72-55.72] 好
[55.72-58.64] 那首先呢
[58.64-59.56] 中华集团
[59.56-62.50] 主要由三个主要的事业体构成
[62.50-63.40] 那Posiflex
[63.40-64.90] PoWel以及Kiask
[64.90-70.32] 那分别是做主要是做Pos工业电脑主板以及这个Kiask的整机的部分
[70.32-75.52] 那在宏碁集团正式投资振华成为最大的股东之后呢
[75.52-81.52] 那未来整个集团跟宏碁集团这边的合作呢也将会更紧密还有更全面
[81.52-84.64] 那NVIDIA呢
[84.64-87.80] 他呃我们跟NVIDIA的合作呢还是持续
[87.80-95.56] 那NVIDIA这边是NVIDIA北美最高等级的是IPC中唯一的Airline等级的一个市场承载商
[95.56-97.76] 那当然除此之外呢
[97.76-102.62] 我们跟NVIDIA的NVIDIATEC的合作呢也是相当紧密
[102.62-106.56] 那是我们是国际品牌中少数能够提供Android
[106.56-110.78] 13家这个Google EDR认真的一个设备商
[110.78-112.52] 那Android的设备呢
[112.52-114.44] 都是采用NVIDIATEC的那个晶片
[114.44-117.44] 那在未来我们会持续开发相关的一个产品
[117.80-123.92] 满足欧图欧市场对Android产品的一个呃逐步增长的一个需求
[127.16-128.62] 那振华集团呢
[128.62-134.38] 在全球的19个城市拥有大约1615名员工
[134.38-136.64] 那在这个在2014年呢
[136.64-139.94] 因为的应用整个业务以及产品开发的一个需求呢
[139.94-147.50] 在全球的范围之内的研发以及PM相关的呃的员工成长的大约有
[147.80-150.62] 增加了大概140位左右
[150.62-153.00] 那日前呢
[153.00-159.82] 呃董事会也正式有决议通过我们会在呃大单薄地区购置了就购置厂房
[159.82-162.80] 那目前厂房的选址也已经确定了
[162.80-166.10] 那预计会在2026年的第四季会启用
[166.10-167.00] 那在未来呢
[167.00-171.64] 这个厂房将用于整整和北美的一个机构的生产
[171.64-172.48] 维运的服务
[172.48-175.04] 还有整个仓储空间的需求
[175.04-177.24] 那如果我们加租呃加之
[177.24-180.96] 台北现有的一个制造以及供应链的一个能量呢
[180.96-182.84] 那我想可以呃有效
[182.84-189.24] 而且及时的支援未来欧美这边的一个扩充的需求来因应各类的一个变化
[192.00-196.86] 好那这个是呃我台湾国际品牌讲
[196.86-199.74] 那其实振华在过去的三年
[199.74-203.04] 20222324每年都有得到这个奖项
[203.04-204.74] 还连续三年获奖
[204.74-206.28] 那也代表整个振华品牌
[206.28-207.10] 有持续的
[207.24-208.44] 获得的肯定
[208.44-211.92] 那这个是呃我
[211.92-214.40] 瑞船那边我们有跟povo
[214.40-219.64] 我们在2025年也得到了这个我们的客户西门子这边
[219.64-225.36] 来自于医疗相关的客户西门子这边的一个呃优秀供应商的一个奖项
[225.36-234.24] 那他其实也代表了我们跟客户这边客户之间很紧密的一个合作以及品质的一个呃关系
[237.24-239.36] 在这个商业的一个变化之下
[239.36-240.72] 在我们的这个呃
[240.72-241.80] 还有一个呢
[241.80-242.36] 呃
[242.36-243.34] 再来是呃
[243.34-245.52] 场景定义自己设备的一个顺应模式的部分
[245.52-250.08] 那这边其实只是在跟各位再再再次的一个说明
[250.08-252.26] 那其实sba这个模式呢
[252.26-256.96] 他基本上就是以应用场景为核心
[256.96-259.86] 那来提供客户高度客制化的一个软硬体
[259.86-262.20] 以及周边整合的一个解决方案
[262.20-265.38] 然后去加强我们跨国场域的一个服务的能量
[265.38-267.08] 来提升我们的
[267.24-269.64] 生產力還有優化客戶的體驗
[269.64-272.12] 那這個整個義務模式
[272.12-274.76] 也為整個集團帶來了
[274.76-277.00] 近幾年來很明顯的在收入
[277.00-279.56] 以及獲利上的一個顯著的提升
[279.56-282.36] 那未來當然剛有提過
[282.36-287.40] 因為宏碁集團投資成為最大的一個法人
[287.40-290.44] 在未來我們也會整合運用
[290.44-293.48] 宏碁全球的客戶體系跟服務能量
[293.48-297.40] 來強化整體的服務的一個範圍
[297.40-301.00] 來強化我們整個集團的服務的一個範疇
[303.88-307.96] 再來這一頁是整個集團在2020年
[307.96-311.80] 我們在各個應用領域的一個營收的分佈
[311.80-317.24] 那大約50%的營收是來自於HAI跟DMS這一塊
[317.24-321.32] 那26%是來自於Retail跟Hospitality這一塊
[321.32-323.40] 那其他的營收值來
[323.40-323.48] 是來自於Hospitality這一塊 那其他的營收值來
[323.48-327.80] 分別來自於其餘的四個應用的一個領域
[327.80-329.56] 那請各位可以參考
[329.56-334.84] 那這一頁這個資助結帳的一個Kiask
[334.84-338.28] 跟四頁這個資助點餐的Kiask
[338.28-341.08] 是Horst這邊在年初的展覽
[341.08-345.24] 就已經有展出的新的一個產品
[345.24-348.20] 那在展覽期間也都得到蠻好的一個迴響
[348.20-353.40] 那我在後續也會針對這兩個產品的一些相關的細節跟展望
[353.40-357.72] 做進一步的一個說明
[357.72-359.48] Boris的部分也是
[359.48-365.16] Boris其實已經跟我們的客戶合作了一段時間了
[365.16-367.08] 然後從2025年開始
[367.08-369.56] 他會開始部件在地產方的場域
[369.56-372.60] 那也開始會在歐洲三方國家做POC
[372.60-379.48] 那這個我後續也會針對展望做一些說明
[379.48-383.32] 接下來是第一季的一個財務表現的部分
[383.32-388.28] 那整個集團第一季的合併的一個毛利率為49.7%
[388.28-394.20] 那Operating Margin是28%
[394.20-400.20] 那第一季的整個獲利表現創歷史新高最主要原因
[400.20-403.80] 就是我們來自於品牌SDA還有醫療
[403.80-407.24] 這些高毛利的客戶的一個組成的一個比例
[407.24-408.60] 高達85%
[408.60-411.40] 所以整個帶動我們整個獲利表現呢
[413.32-415.88] 是有一個大量的財務表現
[415.88-419.72] 然後第一季的EPS呢為6.6塊
[419.72-424.84] 好
[424.84-429.96] 再來是從地區上面的一個分別來看
[429.96-432.52] 那整個集團第一季的營收
[432.52-435.08] 82%是來自於美洲地區
[435.08-437.08] 12%是來自於亞洲地區
[437.08-438.92] 那50%是來自於歐洲
[438.92-441.48] 然後大概1%來自於其他的一個地區
[441.48-443.24] 那我想在
[443.32-446.52] 在美洲地區的營收成長
[446.52-449.08] YOY成長大約288%
[449.08-453.56] 那主要就是來自於AI客戶的相關的需求非常旺盛
[453.56-454.84] 那歐洲的部分呢
[454.84-457.08] 不管在POS還是IPC
[457.08-461.24] 我們在日本的市場都是持續在成長的
[461.24-463.80] 那印度的部分呢也是
[463.80-468.92] 從今年開始其實它的一個整個一個成長的一個力道
[468.92-471.48] 也有逐步的一個恢復
[471.48-472.76] 那但是在POS的部分呢
[472.76-475.96] 只是因為我們在中東地區因為地緣政治的關係
[475.96-479.16] 所以的確有受到
[479.16-481.72] 在議題上面的確有受到
[481.72-483.64] 因為地緣政治受到影響
[483.64-486.84] 那我再後續有進一步的做一些說明
[486.84-489.40] 那在歐洲的部分呢
[489.40-493.24] 歐to歐的市場部分呢
[493.24-497.08] 在整個歐洲市場是有一個很明顯的一個復甦
[497.08-500.92] 那在波蘭西班牙以及德國英國的部分
[500.92-502.52] 它的整個成長都能進行的
[502.76-504.04] 其實都是回來的
[504.04-505.64] 那IPC的部分呢
[505.64-519.40] 在歐洲的部分我們表現是相對比較弱
[519.40-524.52] 那接下來講到整個2025年的展望的部分
[524.52-526.52] 那首先我先就
[526.52-529.64] Embedded Foundries的部分跟各位做說明
[529.64-532.20] 那在GPU Chip跟Module
[532.76-534.04] 測試設備的部分呢
[534.04-539.16] 那我們跟客戶雙方是從2018年開始緊密合作
[539.16-541.72] 那來自於這部分的營收呢
[541.72-546.84] 在2024年的第四季開始就顯著了一個成長
[546.84-551.32] 那2025年在舊世代的一個產品升級更新
[551.32-554.52] 不斷推升需求的一個狀況之下
[554.52-559.00] 整個相關的訂單的總量依舊良好
[559.00-562.60] 那但是由於整個關稅政策帶來的不確定性也有
