[0.00-8.54] 當然同時也謝謝線上投資界的先進朋友來參加今天台企電的法說會
[8.54-12.46] 那今天的法說會還是如以往一樣
[12.46-20.50] 那我也先請我們的財務經理針對去年一整年的財務的狀況
[20.50-23.74] 跟各位先進做一些簡單的報告
[23.74-31.40] 那他報告完之後接下來再由我針對公司目前比較重要的業務
[31.40-37.72] 一些開發的重要的狀況跟各位說一個說明
[37.72-44.56] 那我就先請我們的財務部周經理先針對去年的財務狀況
[44.56-46.26] 跟各位做一個報告
[46.26-49.00] 大家好
[49.00-52.38] 接下來就由財務部這邊
[52.38-53.72] 針對公司
[53.74-58.14] 最近的財務狀況做個簡單的說明
[58.14-65.78] 公司這邊113年度合併的營收大概是91.3億
[65.78-69.62] 那比112年度2.8億
[69.62-72.42] 增加大概是38.5億
[72.42-76.02] 那主要大概就是工程收入
[76.02-78.32] 因為韌列的進度增加
[78.32-81.64] 所以使得工程韌列的營收比較高
[81.64-82.92] 那相對來講
[82.92-83.70] 他當然在
[83.70-85.50] 工程收入也會增加
[85.50-88.06] 再加上自己的關田廠
[88.06-91.64] 那跟比112年度的獲利
[91.64-93.18] 改善很多
[93.18-97.78] 所以大家可以看到113年的營業盡力
[97.78-100.60] 目前大概是4.36億
[100.60-102.38] 那跟去年比
[102.38-106.48] 已經是轉算那個轉虧為零
[106.48-109.56] 不過在營業外收支這方面
[109.56-113.66] 那113年度大概是9.98億
[113.70-117.54] 那比112年度少大概3.3億
[117.54-120.62] 那主要是我們投資的IP變成
[120.62-123.42] 那因為天然氣價格的下跌
[123.42-125.22] 所以使他們的獲利
[125.22-125.98] 那是
[125.98-127.26] 曾衰退
[127.26-129.06] 那不過合併起來
[129.06-129.82] 我們的
[129.82-132.38] 本期盡力歸屬在母公司業主
[132.38-135.46] 大概是有13.5億左右
[135.46-140.58] 那比112年度回復成長大概是0.97億
[140.58-143.66] 那每股盈餘大概是1.85億
[143.70-147.80] 那在資產負債表部分
[147.80-152.66] 大家可以看到變動比較大的原因是在流動資產方面
[152.66-155.48] 流動資產大概是80億左右
[155.48-158.80] 那比跟去年58.3億是
[158.80-161.10] 變動的金額是比較高
[161.10-164.70] 那這主要也就是因為剛剛的營業收入增加
[164.70-166.22] 所以工程的收入增加
[166.22-168.54] 所以相對應的合約資產項目
[168.54-171.10] 它的金額是比較高
[171.10-173.14] 那另外一個變動比較大
[173.14-173.66] 應該是
[173.70-175.50] 在流動負債方面
[175.50-179.84] 這也是相對應在營業收入營業成本增加
[179.84-181.38] 所以它相對應的
[181.38-185.74] 負債科目就是應付工程法當然是相對應的提升
[185.74-188.30] 那不過還包括了我們能比
[188.30-189.06] 應付公司
[189.06-191.10] 佔19億
[191.10-193.16] 那因為在今年8月會到期
[193.16-197.00] 那所以它會從非流動負債轉到流動負債
[197.00-199.30] 這邊也有差了大概19億
[199.30-201.10] 所以這邊是流動負債
[201.10-203.14] 也是大幅增加
[203.14-207.50] 那當然相對非流動負債也是相對的減少
[207.50-211.34] 那目前公司的負債比大概是43.6%
[211.34-216.20] 那財務結構上升穩定
[216.20-218.50] 那在現金流方面除了
[218.50-222.08] 營業活動除了一些收到我們的營業的Cash
[222.08-224.64] 以外包括我們收取的補利以外
[224.64-225.66] 那主要的
[225.66-230.54] 現金流出大家都在籌資活動這一塊流出大概13.25億
[230.54-233.10] 那這主要是發放現金補利
[233.14-238.26] 那本期113年的現金減少大概是0.79億
[238.26-242.10] 那帳上現金目前還有18.43億
[242.10-247.22] 那目前現金是上升一億
[247.22-250.04] 那如果以今年2月的營收來看
[250.04-252.86] 目前是12.04億
[252.86-257.98] 去年的2月同期比較是略微衰退大概0.6億
[257.98-259.26] 那相差是
[259.26-261.04] 主要還是工程
[261.04-263.10] 韌裂的收入的進度
[263.14-269.28] 那接下來看我們的那個補利近5年的補利發放
[269.28-274.14] 那除了113年發放的部分有發股票補利以外
[274.14-277.22] 其他年度是發現金補利
[277.22-278.50] 殖利率
[278.50-280.80] 維持在4.5%以上
[280.80-283.10] 113年補利
[283.10-288.48] 預計是配發2.1元每股配發2.1元的現金
[288.48-293.10] 那以上是公司113年度的財務狀況
[293.14-298.78] 好那以上是公司的財務的概況
[298.78-304.14] 那去年度就是113年度公司的不管是營收
[304.14-306.46] 或是稅後的淨利
[306.46-309.78] 都繳出一張算不錯的成績單
[309.78-311.06] 那
[311.06-316.70] 股利現金股利的部分應該也創下了歷年的新高
[316.70-319.76] 那這個也算對於我們的
[319.76-323.10] 股東有一個交代那當然也謝謝
[323.14-324.16] 謝謝各位
[324.16-326.98] 投資界朋友的支持
[326.98-331.84] 那接下來我就針對公司重要的業務
[331.84-336.20] 跟各位做一個簡單的報告那因為我們現在
[336.20-340.04] 應該是說每一季都有這個收費啦那所以
[340.04-341.32] 整個
