[0.00-2.00] 大家午安
[2.00-4.00] 臺灣氣墊公信股配有限公司
[4.00-6.00] 法說會正式開始
[6.00-8.00] 今天非常榮幸可以邀請到
[8.00-10.00] 陳奕通總經理帶大家一同了解公司的
[10.00-12.00] 因應概況
[12.00-14.00] 接下來我們時間交給陳總
[14.00-16.00] 我們開始今天的
[16.00-18.00] 臺氣墊法說會
[18.00-22.00] 首先謝謝中信證券的安排跟邀請
[22.00-24.00] 也歡迎
[24.00-26.00] 線上投資界的朋友
[26.00-28.00] 跟先進來參加
[28.00-30.00] 今天照例
[30.00-32.00] 還是由我們財務部
[32.00-34.00] 周經理先
[34.00-36.00] 針對Q1的財報
[36.00-38.00] 跟各位做一個簡單的
[38.00-40.00] 報告跟說明
[40.00-42.00] 接下來我再針對
[42.00-44.00] 公司重要的業務
[44.00-46.00] 的狀況
[46.00-48.00] 跟各位做一個報告
[48.00-50.00] 如果沒有問題的話
[50.00-52.00] 我們就先請周經理
[52.00-54.00] 針對Q1的財務狀況
[54.00-56.00] 做一個報告
[56.00-58.00] 大家好
[58.00-60.00] 那以下就由我來
[60.00-62.00] 針對公司
[62.00-64.00] 114年第一季的
[64.00-66.00] 財務狀況做一個
[66.00-68.00] 簡單的說明
[68.00-70.00] 114年第一季
[70.00-72.00] 公司的合併營收大概
[72.00-74.00] 19.64億
[74.00-76.00] 那較去年
[76.00-78.00] 同期大概少了
[78.00-80.00] 大概0.5億
[80.00-82.00] 那這主要是
[82.00-84.00] 今年114年
[84.00-86.00] 認列的工程收入
[86.00-88.00] 以進度來看是少
[88.00-90.00] 少一點
[90.00-92.00] 可是在毛利方面
[92.00-94.00] 114年Q1是有2.13億
[94.00-96.00] 那比
[96.00-98.00] 去年同期1.83億
[98.00-100.00] 大概多了大概0.3億
[100.00-102.00] 那本期
[102.00-104.00] 盡力來看的話
[104.00-106.00] 114年Q1有3.54億
[106.00-108.00] 這是本期盡力
[108.00-110.00] 比去年同期大概增加
[110.00-112.00] 0.47億
[112.00-114.00] 這都較去年同期成長
[114.00-116.00] 那目前每股EPS
[116.00-118.00] 大概是0.4%
[118.00-120.00] 那第二個在
[120.00-122.00] 資產負債表方面
[122.00-124.00] 公司的總資產
[124.00-126.00] 大概是273億
[126.00-128.00] 然後
[128.00-130.00] 負債大概是116億
[130.00-132.00] 那目前
[132.00-134.00] 合併的負債比大概是
[134.00-136.00] 42.5%
[136.00-138.00] 那大家可以看到可能
[138.00-140.00] 變動比較大的第一個是
[140.00-142.00] 在流動資產部分
[142.00-144.00] 流動資產較去年同期
[144.00-146.00] 大概增加了大概18億
[146.00-148.00] 左右那這主要是
[148.00-150.00] 在工程的
[150.00-152.00] 收入增加
[152.00-154.00] 重點就是在工程的
[154.00-156.00] 收入增加的原因
[156.00-158.00] 那另外在負債方面
[158.00-160.00] 變動比較大的應該是在
[160.00-162.00] 流動負債這邊
[162.00-164.00] 大概是增加了大概是25億左右
[164.00-166.00] 那這原則上主要是
[166.00-168.00] 有公司有19億的
[168.00-170.00] 應付公司債
[170.00-172.00] 在今年8月到期
[172.00-174.00] 那所以從非流動負債
[174.00-176.00] 轉成流動負債
[176.00-178.00] 那公司也已經安排
[178.00-180.00] 以難而渡
[180.00-182.00] 可以致應這個8月到期的
[182.00-184.00] 這個所謂的公司債
[184.00-186.00] 所以大家應該可以放心
[186.00-188.00] 那目前的負債比
