[0.00-14.50] 各位同志 先听大家午安
[14.50-19.18] 欢迎大家出席由元大证券举办的高低特处理工业反送业会
[19.18-22.14] 我是元大证券投资银行业务部的Roger
[22.14-24.96] 首先向大家介绍高低特处理工业
[24.96-26.72] 吴建英 吴财务长
[26.72-32.10] 今天将由财务长向大家简报公司的预定开放及未来的展望
[32.10-38.04] 今天的法人说明会流程将由财务长简报公司的最新预定开放及未来的展望
[38.04-41.74] 简报结束之后将开放现场投资先进提问
[41.74-44.64] 接下来我们把时间交给吴财务长 请
[44.64-53.38] 谢谢元大证券今天邀请高低热处理工业股份有限公司
[53.60-55.96] 来跟各位投资先进做
[55.96-62.24] 公司的介绍以及我们公司营运状况的更新
[62.24-67.74] 还有我们对今年这些营运方面的相关的展望的说明
[67.74-73.62] 在进入到营运的一些说明之前
[73.62-78.48] 我想还是先针对公司的背景先跟大家做一些介绍
[78.48-85.62] 毕竟现场应该还是有门多投资法人先进的
[85.96-88.78] 第一次听高低的相关的介绍
[88.78-96.72] 所以以下我会用几分钟的时间跟大家做个报告
[96.72-103.36] 高低热处理工业其实是一个创立已经50年左右的公司
[103.36-112.32] 我们从早期在热处理相关的加工的业务开始
[112.32-114.88] 从1970年创立到现在
[114.88-115.92] 已经超过50年了
[115.96-123.38] 我们一直在深耕在有关于热的处理应用热管理
[123.38-126.72] 以及到相关的金属材料的加工等等
[126.72-129.78] 这方面的技术跟工艺
[129.78-133.62] 那么也随着我们在技术方面的深耕
[133.62-144.38] 我们也逐步的从纯粹的加工技术进入到这种零组件的产品设计跟供应
[144.38-145.92] 然后又到
[145.92-150.02] 热管理的模组以及热管理系统的开发
[150.02-153.60] 应用的领域包含在传统的这种工业性的产品
[153.60-154.62] 例如说
[154.62-158.98] 冷冻空调或者是汽车产业工具机等等
[158.98-162.04] 然后逐步进入到能源产业、氢能产业
[162.04-167.42] 还有现在的资料中心相关的散热系统产品等等
[167.42-172.28] 所以我们在公司的发展方面一直强调以
[172.28-175.36] 技术为中心以我们的员工为主
[175.36-175.88] 然后呢
[175.92-178.48] 创造更大的价值
[178.48-182.84] 而且我们的着重的产业跟产品一直都是
[182.84-187.44] 针对能源的节省跟应用
[187.44-190.26] 这样子的一个发展的方向在演见
[190.26-193.58] 那公司从创立到现在也已经
[193.58-196.40] 有大概700个人的规模
[196.40-199.48] 那我们包含在桃园、中壢
[199.48-202.54] 还有在高雄、本州
[202.54-205.36] 总共有六座工厂
[205.36-205.88] 对不起
[205.88-207.92] 一个是在大陆的宁波
[207.92-209.72] 有总共六个工厂
[209.72-211.76] 那么
[211.76-216.64] 几个比较阶段性的这个指标包含说我们在
[216.64-220.48] 大约30年前的开始进入到热
[220.48-221.24] 交换器
[221.24-223.80] 就是板式的热交换器这样的一个
[223.80-226.10] 产品的设计跟制造
[226.10-229.68] 然后到2008年开始跟
[229.68-231.48] 这个美国的一家
[231.48-235.32] 氢能源产业的公司合作然后帮他们开发
[235.32-237.62] 这种热管理模组
[237.62-241.98] 让它的氢燃料电池能够在非常稳定跟高效的情况之下
[241.98-243.00] 来发电
[243.00-244.28] 然后在
[244.28-247.60] 2018年开始我们也进入到
[247.60-250.68] 资料中心的散热系统的产品
[250.68-251.96] 跟它的零组件
[251.96-254.26] 的这个设计跟供应
[254.26-255.80] 所以这个是我们
[255.80-257.60] 几个比较重要的里程碑
[257.60-260.66] 那另外是我们在2024年也把
[260.66-263.74] 就是刚刚所提到的这个资料中心
[263.74-265.54] 相关的散热系统
[265.54-268.34] 跟产品的这个事业单位
[268.34-271.42] 也规划让它独立出来作为一个
