[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-35.44] 会加入会计部的程文琴经理 以及海外部的黄点昌经理
[35.44-43.18] 好说会将分为四个部分
[43.18-47.96] 第一季的财务资讯 大陆市场的展望
[47.96-49.94] 2025年的业务重点
[49.94-55.66] 第一季的财务报告
[56.44-59.76] 2025年第一季营收
[59.76-63.10] 19亿6524万6千元
[63.10-67.08] 较去年同期成长1.85%
[67.08-70.82] 较前一季成长10.93%
[70.82-74.06] 第一季成长的主要原因是
[74.06-77.94] 台湾的营收增加了5457万
[77.94-81.08] 成长幅度是11.5%
[81.08-83.38] 大陆则是小幅衰退
[83.38-87.68] 较去年同期增长10.93%的原因
[87.68-88.48] 是因为
[88.48-91.54] 第四季通常就是产业的淡期
[91.54-94.34] 那客户的下单就会比较保守
[94.34-96.22] 那今年的第一季就
[96.22-100.80] 所以第一季的业绩比第四季来的成长
[100.80-110.30] 接下来是产品营收的部分
[110.30-113.76] 今年第一季和去年同期
[113.76-115.24] 没有太大的变化
[115.24-118.40] 宇贯还是最大的营收栏员
[118.40-120.16] 占67%
[120.16-123.64] 第二大的营收来源则是盖子
[123.64-126.64] 那盖子的占比约18%
[126.64-131.06] 两者合计占营收的85%
[131.06-133.70] 而去年同期是86%
[133.70-139.92] 地区别的营收比的分布
[139.92-141.76] 海外的部分
[141.76-146.42] 今年的海外营收占比
[146.42-148.34] 从去年的历史高点
[148.40-151.72] 76%下滑到73%
[151.72-154.56] 台湾的部分则由第一季的
[154.56-158.02] 由去年第一季的24%
[158.02-159.92] 上升到27%
[159.92-164.28] 主要是因为台湾第一季的营收是成长的
[164.28-166.38] 而大陆的营收却是衰退
[166.38-171.72] 接下来看各季的毛利
[171.72-173.28] 及合并的毛利率
[173.28-175.84] 营业毛利
[175.84-178.24] 第一季是1亿7千零
[178.24-178.38] 接下来看各季的毛利
[178.40-180.32] 一时九万三千元
[180.32-184.76] 较去年同期衰退13.86%
[184.76-188.40] 较前一季下跌11.3%
[189.60-192.64] 下跌的主要原因呢
[192.64-195.50] 是因为其实去年第一季的
[195.50-198.54] 女才的价格是
[198.54-200.66] 美金的2200万
[200.66-202.50] 2200元一公顿
[202.50-205.08] 那到今年第一季已经涨到了
[205.08-207.42] 2700块美金一公顿
[207.42-208.22] 此外
[208.40-209.80] 美元的汇率呢
[209.80-212.30] 也从去年第一季的31.4
[212.30-214.12] 点到32.8
[214.12-216.72] 那再加上我们的低价库存呢
[216.72-217.70] 也已经用尽
[217.70-219.68] 所以影响了我们的毛利率
[219.68-222.70] 那第一季的毛利率
[222.70-224.58] 只有8.66%
[224.58-225.80] 也是创
[225.80-227.88] 季度来的新低
[227.88-229.22] 那这个部分
[229.22-231.12] 就是我刚刚提到的
[231.12-232.80] 这些原因导致的
[232.80-233.74] 同时呢
[233.74-235.10] 因为第四季
[235.10-238.08] 在去年的第四季呢
[238.08-238.38] 大部分的毛利率呢
[238.40-240.00] 大陆那边也取消了
[240.00-242.18] 所谓的铝的出口的退税
[242.18-243.68] 那这个部分呢
[243.68-245.60] 就影响到我们上游的
[245.60-247.84] 这些铝厂的收入
[247.84-249.70] 那因为这样子
[249.70-252.88] 那铝厂也在相对的提高了
[252.88-255.28] 我们原料的这个加工费
[255.28-257.44] 那也就影响了我们毛利
[257.44-262.22] 接下来是营业费用的部分
[262.22-263.44] 营业费用
[263.44-266.96] 第一季是1118万元
[266.96-268.38] 较去年同期增长的
[268.40-270.16] 6.25%
[270.16-275.16] 较前一季则减少2.79%
[275.16-278.06] 费用率是维持在5.66%
[278.06-279.64] 那这个是大概
[279.64-281.36] 我们正常的水平
[281.36-284.44] 大概就是在4.5到6.5之间
[284.44-286.28] 那较去年同期增加
[286.28-287.48] 主要的原因
[287.48-289.40] 是管理费用的增加
[289.40-291.16] 那较第四季减少
[291.16-293.52] 那是因为去年第四季
[293.52-296.36] 那个是因为今年第一季的
[296.36-298.08] 推销费用较比较少
[298.08-301.80] 营业净利的部分
[301.80-304.80] 591013000元
[304.80-306.90] 净利率是3%
[306.90-309.56] 那分别较去年和第四季
[309.56-311.32] 去年同期和第四季
[311.32-314.28] 分别是减少了36.5%
[314.28-316.84] 和23.85%
[316.84-319.40] 营业净利大幅降低的主要原因
[319.40-323.68] 还是来自于毛利率的下降
[323.68-325.52] 税前净利的部分
[325.52-327.92] 税前净利9500万元
[328.08-328.96] 3千元
[328.96-331.84] 较去年同期和第四季
[331.84-334.80] 分别减少了29.57%
[334.80-337.40] 和25.69%
[337.40-341.04] 营业净利减除了营业净利减少外
[341.04-344.92] 营业外收入也较去年同期减少
[344.92-346.60] 那营业外收入的部分
[346.60-350.44] 主要是金融资产评价收益的部分减少
[352.44-355.72] 那税后净利的部分
[355.72-357.92] 税后净利7223万元
[358.08-359.64] 和4千元
