[0.00-4.50] 請教我們的張總跟林財務長
[4.50-8.50] 首先我們第一個問題想要請問兩位專家是說
[8.50-13.00] 台積電有宣布投資千億美元在美國設廠
[13.00-17.00] 不少人認為台積電去美國設廠
[17.00-22.50] 勢必會影響到原先受到台積電設廠題材而大漲的中南部房價
[22.50-25.50] 請問關於台積宅的議題
[25.50-29.00] 想請教兩位專家的看法是什麼
[29.00-31.00] 那我們先請張總好了
[35.00-37.00] 各位投資先進大家好
[37.00-40.00] 我是新巴巴總經理張宏圖
[40.00-44.00] 主持人剛剛這樣問有點不好意思
[44.00-46.00] 我想我們不是專家
[46.00-52.00] 台積電的議題應該搞不好在座的先進都比我更熟悉
[52.00-56.00] 因為我想媒體的報導非常的多
[56.00-59.00] 大概如果用我的角度來
[59.00-63.00] 觀察我想我大概會去把它抓幾個點去做分類
[63.00-68.00] 第一個就是這個研發的主力
[68.00-72.00] 在台灣大概一萬年在美國就一千年
[72.00-78.00] 那研發的主力在哪裡就會去衡量未來它的這個所謂的耐霧
[78.00-81.00] 以及它的晶圓的幾吋長
[81.00-87.00] 它未來的這個高階的延的製程的部分會在哪邊延續
[87.00-89.00] 那很明顯就是
[89.00-91.00] 台灣跟美國
[91.00-95.00] 它目前它原本預計投資六百億又再加上一千億
[95.00-98.00] 高達一千六百億的美金的投資
[98.00-100.00] 它在這個時間差來講的話
[100.00-102.00] 就我個人的觀點來講
[102.00-104.00] 它是不會有影響的
[104.00-108.00] 因為等到真的這個量產的時候
[108.00-111.00] 這個相對的我們還是在所謂現金製程
[111.00-113.00] 那台灣本來就是一個
[113.00-117.00] 擁有一個強而有力的戲盾的一個國家
[117.00-119.00] 我們的這個
[119.00-122.00] 這個尖端科技的這些研發製程
[122.00-126.00] 本來就是在全世界都必須來仰賴的部分
[126.00-131.00] 所以對於只是一般的商業行為做的投資
[131.00-136.00] 而且是主要為了配合美國那邊的這個所謂客戶
[136.00-138.00] 所做這樣投資而去影響台灣
[138.00-140.00] 我認為它會是一個比較空的議題
[140.00-145.00] 所以基本上對於原本以台積電為議題的一些不動產投資
[145.00-146.00] 會不會有影響
[146.00-148.00] 我個人認為是完全不會啦
[148.00-150.00] 而且應該更期待
[150.00-151.00] 更期待什麼
[151.00-152.00] 譬如說像我們高雄
[152.00-153.00] 這五座廠
[153.00-156.00] 那有機會今年年底可能就會開始量產
[156.00-158.00] 那真的開始量產之後
[158.00-161.00] 帶來的高階科技人才的進駐
[161.00-164.00] 它所延伸的所謂台積電宅
[164.00-166.00] 所謂的每一創造一個工作機會
[166.00-172.00] 可以乘以8到乘以10的整體的這個就業人數
[172.00-174.00] 未來所影響的消費市場
[174.00-177.00] 跟它所這個散發出來對於動產的需求
[177.00-181.00] 我想這一塊反而會值得大家聚焦跟注目
[181.00-185.00] 所以可能針對台積電的部位它的這個延伸
[185.00-187.00] 我認為影響程度不會大
[187.00-190.00] 而且對於中央部本來積極就低的情況之下
[190.00-192.00] 未來反而會因為它量產
[192.00-194.00] 那反而是更有機會
[194.00-199.00] 反而在市場上它是更有機會可以看高跟看好的部分
[199.00-202.00] 這是我個人一些比較簡單的一些見解
[202.00-203.00] 好
[203.00-204.00] 那我們謝謝兩位專家
[204.00-205.00] 也就是說
[205.00-207.00] 就是雖然這個台積電去年
[207.00-211.00] 也許這個美國社長可能影響這個短期的市場波動
[211.00-215.00] 但是現在南部的這個科技產業的聚落已經形成了
[215.00-217.00] 所以未來還會有更多的廠商進駐
[217.00-221.00] 那長期來看這個南部的這個方式還是看好的
[221.00-223.00] 那接下來延續上提啊
[223.00-225.00] 就是展望未來的五年
[225.00-229.00] 就是兩位專家有認為哪些的這個區域最具這個投資潛力
[229.00-235.00] 然後反之哪些區域可能面臨這個較大的這個價格壓力或風險
[235.00-237.00] 那我們一樣先請這個張總
[237.00-245.00] 在座應該很多先進都是高雄人
[245.00-252.00] 那這個我稍微把剛剛這個議題再把它再擴大一點點
[252.00-256.00] 也因為拜台積電之所賜
[256.00-260.00] 這個我們各位南部的鄉親
[260.00-262.00] 他要說台語聽得懂嗎
[262.00-265.00] 他要出國有福氣了
[265.00-268.00] 我們高雄小港基調
[268.00-272.00] 這個第三航航站已經也開始在發包
[272.00-274.00] 開始在施工
[274.00-276.00] 那目前在朝什麼
