[0.96-7.66] 各位投资人午安,欢迎参加信义房屋113年第四季线上中文法人说明会。
[8.26-14.46] 今天的会议将由财务长陈志环以及契言市专案经理曾静德为各位进行说明。
[15.12-22.22] 在会议过程中,您可以利用投影片下方空白处输入您的问题,我们将于简报过后为您写答。
[22.68-29.92] 本次会议将提供讨论重播服务,重播服务将于会议结束后一小时内放置于本公司。
[30.00-36.58] 在投资人关系网站,现在请财务长陈志环开始为投资人进行营运介绍报告。
[60.00-89.98] 投资人关系网站,请财务长陈志环开始为投资人进行营运介绍报告。
[90.00-116.00] 在去年的话是29%,营业利益的话是17亿9700万元,营业的经历率是14%,业外的收入的话是4亿1600万元,所得税费用的部分是4亿0700万元,经历的话是18亿0600万元,经历率是14%,
[116.48-119.76] 那归属在本公司的经历,也就是
[120.00-149.10] 大家关切的那个EPS的计算的那个经历的部分的话是17亿8400万元,最后的EPS的话是2.42元,那看右手边的2023年的数字来看的话,跟前几季一样,就是在销货收入的部分的话,就是销售住宅的那一块的收入的话,减少了25亿4300万元左右,
[149.10-149.98] 那主要就是
[150.00-151.12] 在
[151.12-153.36] 我们在之前
[153.36-155.36] 2023年的时候
[155.36-158.66] 第一季的时候,有在交屋的
[158.66-160.64] 定计加额的案子
[160.64-161.66] 大概是9亿
[161.66-162.86] 左右的那个
[162.86-165.54] 交屋的那个销售收入
[165.54-167.60] 那另外在
[167.60-169.84] 大陆的这个部分的话
[169.84-172.08] 整个一个销售的状况
[172.08-174.12] 在2024年也相对来讲
[174.12-175.52] 比较不好,所以
[175.52-177.96] 整个来讲的话,销售收入减少了
[177.96-179.82] 25亿左右的
[179.82-179.98] 并不是很少,所以是
[180.00-185.90] 不过在值得提到的一点是
[185.90-186.84] 辽沪收入的部分
[186.84-189.76] 就是仲介那一块的地方的收入的话
[189.76-193.20] 是增加了11亿2000万元左右
[193.20-194.64] 增长了大概10%
[194.64-197.04] 那不管说在新一房屋
[197.04-200.02] 或者是新一全球资产
[200.02-201.04] 日本新一
[201.04-204.98] 或者周边的这些关系企业
[204.98-207.40] 甚至是大陆的仲介
[207.40-210.96] 其实都在这一块收入有在增长
[210.96-216.08] 那营业毛利的部分的话
[216.08-220.22] 有在维持到差不多的
[220.22-222.22] 跟2023年的一个水准
[222.22-224.48] 所以看起来的这个状况
[224.48-225.86] 整体来讲的话
[225.86-227.12] 即便到了营业利益的话
[227.12-228.22] 大概稍微减少了
[228.22-230.52] 2亿5000万元的一个金额
[230.52-234.36] 所以可以看到就是营业经历率的话
[234.36-236.70] 大概维持都是14%这样子
[236.70-237.20] 那在
[237.20-240.52] 业外的这个部分的话
[240.52-241.88] 整个来看的话
[241.88-245.24] 业外收入的话有在增加9800万元
[245.24-247.72] 那扣掉所得税费用的话
[247.72-249.40] 大概跟去年
[249.40-251.34] 跟2023年的数字
[251.34-253.36] 大概经历上面增加了
[253.36-255.46] 3500多万元
[255.46-258.16] 所以从EPS大概从
[258.16-262.12] 从2.39元增加到2.42元
[262.12-263.92] 大概增加了差不多
[263.92-266.78] 20.03元的一个那个每部经历
[267.20-270.52] 那看第五页的部分的话
[270.52-272.44] 我们看综合损益的地方
[272.44-274.48] 那综合损益的话
[274.48-276.32] 其中比较特殊
[276.32-278.20] 跟大家报告的就是
[278.20-282.04] 不管在退休金的那一部分的
[282.04-283.96] 那个精算的
[283.96-285.38] 就制的退休金的话
[285.38-287.04] 精算有做一些那个
[287.04-288.72] 再衡量的数字
[288.72-290.08] 就是大家看到就是
[290.08-292.68] 确定福利计划的再衡量数
[292.68-293.32] 这个部分
[293.32-296.20] 所以精算损益这边有增加了
[296.20-297.16] 大概6%左右
[297.20-299.60] 6500万元的金额
[299.60-302.40] 那另外就是我们投资一些
[302.40-304.76] 那个被投资公司
[304.76-306.20] 他是用
[306.20-307.92] 呃
[307.92-310.96] 其他的综合损益按供应价值衡量的
[310.96-312.82] 一个权益工具的这个部分
[312.82-314.50] 他的供应价值
[314.50-317.16] 市价的估价有有在增长
[317.16-320.48] 所以这个地方增加了6700万元
[320.48-322.60] 那比较大的金额的变动的话
[322.60-323.96] 是下面的一个地方
[323.96-327.08] 就是国外营运机构
[327.20-329.24] 财务报表换算的兑换差额
[329.24-331.68] 就是这个雷幻调整数
[331.68-332.82] 以及换算调整数
[332.82-334.56] 大概增加了
[334.56-336.96] 又一9700万元
[336.96-339.52] 相对于2023年的
[339.52-341.86] 负的三亿1500多万元
[341.86-344.24] 增加了将近有10亿
[344.24-347.36] 那这个数字主要都是来自于
[347.36-350.72] 美元的跟马币
[350.72-353.12] 这些的人民币的辟别
[353.12-356.12] 相对于台币的走强的关系
[356.12-356.64] 所以在
[356.64-358.64] 这个兑换差额的地方
[358.64-359.64] 增加了不少
[359.64-362.64] 那增加的部分到时候也会
[362.64-367.64] 反映到我们接下来的那个年度的
[367.64-373.64] 可分配的盈余这个部分的一个金额
[373.64-376.64] 因为在这个地方的一个差额的地方
[376.64-383.64] 包含其他的一个股东权益的进额的这边的差异的变化
[383.64-386.64] 来自于包含说刚刚提到的
[386.64-389.64] 这个重额存益按公允价值衡量的这个地方
