[0.00-25.64] 各位贵宾午安
[25.64-29.66] 欢迎您今天来参加加龙科技的线上法人说明会
[29.66-31.72] 那我们今天线上呢
[31.72-34.96] 我们邀请到了加龙科技的陆怡豪发言人
[34.96-37.12] 以及陈泽辉财务长
[37.12-39.70] 那现在我们就把场控交给我们
[39.70-41.26] 加龙科技的经营团队
[41.26-41.62] 谢谢
[41.62-43.94] 好谢谢
[43.94-45.94] 我想先首先谢谢
[45.94-47.64] 约副政见的同仁
[47.64-49.42] 今天安排今天我们的一个
[49.42-50.98] 法说会的部分
[50.98-54.54] 那也感谢我们线上参与的
[54.54-57.32] 这个投资先进跟法人朋友
[57.32-59.64] 来参加我们加龙科技第一季
[59.64-61.44] 的这个法人说明会的部分
[61.44-65.08] 那我先来分享一下我的画面
[65.08-82.04] 请问那个简报播放一下
[82.04-87.76] 好请问简报可以看到了吗
[87.76-89.62] 可以看到了
[89.64-90.64] 可以
[90.64-93.54] 好好那我就开始
[93.54-96.58] 好那当然就感谢大家的一个参与
[96.58-99.00] 那今天的一个法说会的部分
[99.00-101.20] 大概主要会有几个章节
[101.20-104.56] 大概是这五个章节来分别来跟大家
[104.56-107.58] 做一个报告跟说明
[107.58-110.48] 好我想首先还是针对公司的一个
[110.48-113.14] 简介的部分跟大家做一个说明
[113.14-115.72] 那我们成立是在1996年
[115.72-118.00] 所以现在大概是29年
[118.00-119.48] 29年的时间那是周之一的一段时间
[119.48-119.60] 那是周之一的一段时间
[119.60-120.60] 那是周之一的一段时间
[120.60-121.60] 那是周之一的一段时间
[121.60-125.84] 那目前我们在营运祭典包括就是在桃园
[125.84-127.10] 这边有三个厂区
[127.10-129.30] 包括观音厂观音二厂
[129.30-130.84] 还有我们的黄科厂
[130.84-132.96] 也是我们的这个企业总部的部分
[132.96-134.84] 另外在大陆的苏州
[134.84-136.48] 这边也有一个厂区
[136.48-140.32] 所以总共我们所有持有的一个面积
[140.32-142.84] 大概是22000平的部分
[142.84-144.40] 都是自有的部分
[144.40-147.00] 那去年的一个营业额大概是11.95
[147.00-148.60] 也将近12亿
[148.60-149.58] 那主要的一些营业额大概是11.95
[149.60-150.86] 那主要的一些营业额大概是11.95
[150.86-152.12] 营运的一个项目的部分
[152.12-155.10] 包括一些半导体的PASCALIN
[155.10-158.96] 那甚至还有工业用的一些精研的制造销售
[158.96-162.32] 那同时我们也针对洗下来的一些贵金属
[162.32-164.74] 做回收处理跟再生
[164.74-166.86] 那也有所谓的E-west的
[166.86-170.20] 咨询品的一些回收再生
[170.20-172.94] 那另外在这一个肺液的处理
[172.94-176.34] 还有一些半导体应用材料
[176.34-178.96] 包括还有大数据资料的中心
[178.96-179.00] 包括还有大数据资料的中心
[179.00-179.04] 包括还有大数据资料的中心
[179.04-179.16] 包括还有大数据资料的中心
[179.16-179.44] 跟太阳轮的资料
[179.44-180.38] 跟太阳轮的发电除能
[180.38-184.40] 同时我们针对环保的一些顾问服务的部分
[184.40-185.20] 也有提供
[185.20-187.60] 那还有分析实验室的一个服务
[187.60-194.60] 那这个是刚刚提到我们的一个厂区的一个分布的部分
[194.60-197.16] 那这是台湾的三个厂区的部分
[197.16-200.42] 包括左上角这边的观音的观音一厂
[200.42-202.96] 大概是2100多平的一个占地
[202.96-206.22] 那在左下角的是观音二厂
[206.22-208.82] 这边也是大概是1200平的一个占地
[208.82-209.00] 那在左下角的是观音二厂
[209.00-211.98] 那在右边这边最右边的话
[211.98-215.38] 是我们现在就是企业总部黄科厂的部分
[215.38-219.86] 大概是有大概将近快7000平的一个占地的部分
[219.86-223.44] 那另外我们的转投资的一个100%子公司仓库
[223.44-226.60] 在我们的这个总部的旁边
[226.60-228.98] 有一块大概是4000平的一个用地
[228.98-232.62] 那这些其实这些土地都是自由
[232.62-235.84] 那在我们的账上我想查阅我们的财报
[235.84-236.70] 也可以看得到
[236.70-238.76] 我们的一个账上的一个取得成本
[238.76-238.98] 大概是大概是4000平的一个用地
[239.00-240.02] 大概只有4亿多了
[240.02-241.78] 那当然以现在目前来讲
[241.78-244.70] 它的一个市价大概是已经大概
[244.70-246.90] 接近大概30到40亿的左右
[246.90-249.94] 所以账上的一些潜质空间是蛮大的
[249.94-253.88] 那这是接下来报告一下
[253.88-256.16] 我们的一个转投资的一个概况
[256.16-259.20] 那我们大概有几间百分之百的
[259.20-261.02] 包括我们台湾的部分
[261.02-262.72] 就是仓库跟农谱实业
[262.72-267.08] 也都是跟环保回收处理相关的一些企业
[267.08-268.98] 那另外这透过我们这些的
[269.00-271.04] 这个海外的控股公司持有的
[271.04-272.34] 就是我们苏州厂
[272.34-275.04] 苏州加龙的部分也是百分之百的持股
[275.04-277.30] 那在这两三年开始
[277.30-279.90] 我们也在积极比较对外投资的部分
[279.90-281.44] 那投资的一些触角
[281.44-284.36] 跟我们的本业其实还是蛮相关的
[284.36-286.98] 那包括这个瑞德水资源的部分
[286.98-290.50] 还有这个大数据的这个部分
[290.50-294.58] 那另外我们也在这个前
[294.58-296.06] 这这一两年
[296.06-298.82] 那我们跟宝金合资来投资
[298.82-300.98] 这个储能的部分
[300.98-302.70] 那成立的这个宝厨公司
[302.70-306.24] 我们大概也是占了25%的股权
[306.24-309.26] 那同时在这个2023年的第一季
[309.26-313.64] 我们也取得台湾金财的一个股权的部分
[313.64-318.04] 目前我们是台湾金财单一最大的一个股东
[318.04-322.08] 持股比例大概是22%
[322.08-324.50] 那这边也补充介绍一下台湾金财
[324.50-328.80] 那台湾金财这边其实在就是前两天
[328.82-334.20] 3月25号他其实就就这个上柜挂牌
[334.20-339.82] 那目前他的这个资本额大概是大概是不到3亿了
[339.82-343.16] 那主要是半导体的一些设备的耗材
[343.16-347.26] 包括一些可能陶瓷氧化铝氮化铝
[347.26-353.14] 石英跟silicon的一些相关的一些设备耗材的部分
[353.14-358.78] 那当然就是挂牌之后目前的一个股价大概是在60元上下
[358.82-362.40] 那我们持有他大概是6000多张
[362.40-366.24] 但当时的一个持有成本其实还是蛮低的
[366.24-368.80] 所以这边的话也是有些潜在利益
[368.80-370.60] 不过对于台湾金财的部分
[370.60-373.92] 我们是所谓的策略性的一个投资持股的部分
[373.92-378.28] 并不会有短期要来出售他的一个股票的部分
[378.28-385.96] 那另外再介绍一下我们另外一个转投资的就是保储的部分
[385.96-387.50] 那也是我们的出能公司
[387.50-388.78] 那目前来讲
[388.82-392.66] 这个他有两个出能的案场
[392.66-396.24] 他都是也是建置在加农集团的一些
[396.24-400.08] 我们所持有的不动产的一个场地上面
[400.08-402.38] 包括在左边这边是
[402.38-403.66] 我们持有在
[403.66-408.28] 幻影一场的大概4.9M的部分在红色框框里面
[408.28-411.86] 那另外在我们的子公司昌普这边也建置了
[411.86-414.68] 2M加4M就是6MW的
[414.68-417.50] 一个AFC调频备转的部分
[417.50-418.52] 那这边的话
[418.52-422.88] 我们整体的这个运转都是在
[422.88-424.16] 2024年
[424.16-431.06] 第一季这边开始就已经全部开始投入所谓的一个运转了
[431.06-434.40] 那接下来报告一下加农科技的一个经营理念
[434.40-438.48] 我想这一个经营理念是从成立到今
[438.48-439.76] 不曾改变
[439.76-441.04] 我们的一个核心价值
[441.04-443.86] 包括了认同再生跟创新
[443.86-445.66] 认同这个地球
[445.66-447.70] 认同这片土地
[447.70-448.48] 地球只有一个地球
[448.52-450.32] 一个资源也是有限
[450.32-453.12] 因此我们需要把一些有限的资源
[453.12-454.92] 再循环利用再生
[454.92-461.32] 那甚至后面我们有一些创新的一些材料也是从这些所谓的再生材料来做出发的
[461.32-462.86] 那如果你打开我们
[462.86-465.92] 公司的一个官网就会看到
[465.92-468.48] 很明显的三句话包括
[468.48-470.80] 过去我们在矿山采矿
[470.80-473.36] 现在我们在城市采矿
[473.36-476.16] 未来我们将放在社会中循环
[476.16-478.48] 其实现在我们做的就是已经将矿
[478.52-480.82] 在社会中做一个循环了
[480.82-482.88] 后面会跟大家再说明一下
[482.88-484.92] 佳融科技不管是在贵金属
[484.92-487.48] 金属类或者是非贵金属类
[487.48-489.78] 我们做的一些社会循环的部分
[489.78-495.92] 那当然就说我们的经营理念也跟着所谓的环保的产业趋势
[495.92-497.98] 在做一些动态的调整
[497.98-501.82] 过去呢也许我们取得了两张证照一张
[501.82-506.42] 甲级的一个清除跟一个甲级的处理的证照大概就可以符合
[506.42-507.44] 客户的需求
[507.44-508.48] 因为客户的业务
[508.52-510.32] 他可能就是要求
[510.32-512.62] 合规的清运合规的处理
[512.62-517.22] 合法的文化合法的排放跟合法的掩埋
[517.22-521.84] 但是这个时过境迁现在的一个要求其实会
[521.84-526.44] 越来越注重一些所谓的环保或ESG的一些议题
[526.44-528.74] 所以从过去的叫做CSR
[528.74-532.58] 到目前大家在讲的ESG就是永续的议题
[532.58-534.12] 所以不仅是
[534.12-538.48] 我们现在的甲氢甲醋的两张执照更重要的是下方
[538.48-543.08] 我们所取得的一个回收再利用的一个机构许可资格
[543.08-547.18] 跟我们现在做的一些就是回收再利用的部分
[547.18-548.98] 因为客户希望我们做的
[548.98-549.74] 不仅是
[549.74-551.80] 尽责或妥善的处理
[551.80-555.64] 他更希望我们在处理过程他是低耗能
[555.64-558.20] 或者是低碳排的
[558.20-561.78] 有些更要求我们必须要把废墟处理后
[561.78-567.40] 得到的一些材料可以再循环再利用
[567.40-568.44] 那这边也就是来说的
[568.48-571.56] 我们来介绍一下加农
[571.56-574.88] 我们在CLGM的一个环保心裁
[574.88-577.18] 那这个其实它的一个起源
[577.18-581.02] 源自于我们在回收电子废弃物所得到的一些
[581.02-584.60] 处理完的废弃物
[584.60-587.16] 所做的一个努力
[587.16-588.96] 那事实上这个我们
[588.96-592.80] 每个人目前在使用的一些3C的用品
[592.80-596.12] 大家可能有手机笔电等等的
[596.12-597.66] 大家用的都很方便
[597.66-598.44] 但是当
[598.48-600.78] 这些用品
[600.78-603.34] 它已经被淘汰之后
[603.34-605.14] 如果没有妥善的处理
[605.14-607.44] 就会像下方这样的一个
[607.44-608.46] 这个电子
[608.46-613.84] 垃圾山的一些所谓的环境的一个污染或破坏的一个危机
[613.84-615.64] 那这个是我们在
[615.64-617.42] 搜寻的一些资讯
[617.42-618.20] 事实上
[618.20-619.48] 在这个
[619.48-621.00] 2021年
[621.00-624.34] 全球所产生的电子废弃物
[624.34-626.90] 就已经超过了5000万吨以上
[626.90-628.44] 如果预计
[628.48-633.60] 到2023年可能全球一年会产生超过8200万吨
[633.60-639.74] 这个没有去妥善处理绝对是人类生态的一个危机跟浩劫
[639.74-641.02] 所以也因此
[641.02-643.84] 我们在做这一块电子废弃物的一个
[643.84-646.14] 回收处理呢
[646.14-647.68] 这个还是跟我们
[647.68-649.98] 原来的一个经营理念跟核心价值
[649.98-651.52] 做一个相结合
[651.52-654.84] 电子废弃物可能包括手机平板电脑
[654.84-656.38] 等等事务机的部分
[656.38-658.44] 经过我们的一个拆解跟回收的部分
[658.48-660.02] 大概会得到
[660.02-661.56] 五大类的一些
[661.56-663.34] 这个物质
[663.34-666.42] 包括金属类跟非金属类的部分
[666.42-670.00] 那当然金属类的话有Base Metal的部分基本金属
[670.00-671.80] 像铜铁铝
[671.80-673.08] 锡的部分
[673.08-678.20] 那这个另外贵金属的部分像金银薄巴都会在这些
[678.20-679.72] 电子废弃物回收
[679.72-683.32] 之后可以得到相对应的一些
[683.32-685.10] 所谓的金属跟贵金属
[685.10-685.88] 那我想
[685.88-687.40] 在这一个
[687.40-688.44] 不仅是台湾喔
[688.48-693.08] 我想全世界针对这些金属类或贵金属类的一些回收
[693.08-696.16] 处理再利用事实上都已经蛮成熟了
[696.16-698.20] 所以这个部分要走到所谓的
[698.20-700.52] 循环再利用是没有太大的问题
[700.52-706.40] 那其实比较大的问题是下方红色的部分就是非贵金属的部分包括塑胶
[706.40-707.94] 包括我们的主机板
[707.94-708.70] 就是
[708.70-710.24] 这个玻纤粉的部分
[710.24-711.52] 玻纤板的部分
[711.52-713.32] 还有玻璃的部分
[713.32-714.84] 那过去呢可能
[714.84-716.64] 处理的方式呢大概
[716.64-717.92] 会透过说把它
[717.92-719.20] 火炸处理之后
[719.20-720.48] 经过所谓的
[720.48-725.08] 焚化或掩埋合法的焚化和掩埋去做处理
[725.08-730.46] 但是当你把它烧掉或埋掉其实就没有办法再往下再继续再利用了
[730.46-731.74] 因此
[731.74-735.58] 这个不是我们想要做的事情所以加农在过去
[735.58-738.66] 就是针对所谓非贵金属的部分也就是
[738.66-740.70] 希望走到所谓的从摇篮
[740.70-743.26] 到摇篮的一个资源有限
[743.26-745.32] 循环无限的一个利用方式
[745.32-747.88] 那我想在塑胶的部分我们现在也
[747.92-751.24] 配合我们在南部的一个策略伙伴
[751.24-752.52] 它可以将我们
[752.52-756.12] 从电子废气物回收得到这些废塑胶
[756.12-757.14] 大概有
[757.14-758.92] 可以90%
[758.92-763.02] 可以重新的回收再利用不管做成所谓的新料或二次料
[763.02-766.60] 重新变成一个材料的一个状态再来使用
[766.60-770.20] 那剩下10%的部分可能没有办法再做回收的部分
[770.20-771.72] 可能就会走到所谓的一个
[771.72-773.00] 这个
[773.00-776.34] SF所谓的燃料发电的部分
[776.34-777.36] 那
[777.36-777.88] 那
[777.92-779.72] .就说这个在
[779.72-781.50] 底下这个所谓的
[781.50-784.06] 主机板波纤板的部分其实这个是
[784.06-790.46] 蛮多这个国家或地区真的这个主机板在回收处理
[790.46-792.52] 是一个蛮大的
[792.52-796.10] 一个头痛的议题因为目前来讲并没有太多
[796.10-799.68] 好的方法去处理这些但是佳龙我想从
[799.68-806.08] 这个过去大概一二十年前开始在回收这电子废气物我们就是把这些波纤粉
[806.08-807.36] 甚至玻璃
[807.36-807.88] 在
[807.92-809.96] 加上我们的一些材料
[809.96-812.28] 做成一些像这个
[812.28-814.32] 人造大理石或环保
[814.32-816.36] 地砖或者是一些
[816.36-817.90] 艺品的部分
[817.90-820.46] 但是现在呢我们也有一个新的
[820.46-823.02] 新的一个配方跟技术的部分
[823.02-823.80] 来
[823.80-826.36] 制造一个新的一个材料
[826.36-828.66] 等一下会再跟大家做个说明
[828.66-834.54] 那这个其实也就是电子废气物回收处理的最后一里路当它可以被
[834.54-835.56] 回收
[835.56-837.36] 跟循环再利用的话我想
[837.36-841.96] 整个电子废气物的回收处理就已经完整
[841.96-844.52] 所以在佳龙的新环保材料其实大概
[844.52-848.12] 它是花了大概20年的时间从大概2000年开始
[848.12-851.70] 我们就尝试着把这些波纤粉跟玻璃
[851.70-855.80] 再加上一些材料做成一些环保再生的材料跟艺品
[855.80-857.84] 那时经大概
[857.84-866.04] 一二十年的时间到我想2023年我们跟北科大的一个产学合作也比较真正产出来一个实质的
[866.04-866.80] 这个叫玻璃的材料
[866.80-869.36] 这个叫无机聚合物的一个技术
[869.36-873.20] 那用这个技术我们也开发了所谓的CLGM
[873.20-879.08] 就是佳龙的Green Materials
[879.08-885.24] 那这个也是我们在这个CLGM的一个产线在去年的11月7号
[885.24-888.56] 我们正式的一个竣工跟启用的部分
[888.56-891.88] 那这个产线它大概是
[891.88-896.76] 一批次可以生产500公斤的CLGM的一个量产线
[896.80-898.08] 所以大概年产能
[898.08-901.16] 大概比这个大概
[901.16-903.72] 可以超过大概一年200万吨的
[903.72-904.74] 这个
[904.74-911.14] 200吨的一个CLGM的一个材料
[911.14-912.42] 对不起
[912.42-920.60] 那下面有一个影片我想可能针对我们的CLGM的一个介绍我想这边花大概两分钟的时间播放给大家
[920.60-922.40] 看一下
[922.40-925.72] Electronic waste is gradually encroaching on our living spaces.
[926.80-929.62] While recycling 3C products seems like a solution
[932.68-938.84] The PCB glass fiber powder generated during the process currently can only be incinerated or landfilled
[939.60-941.90] posing significant environmental hazards
[943.96-944.46] Now
[944.98-950.10] Imagine if this seemingly useless waste could be transformed into valuable green materials
[950.86-953.68] Ushering in a new chapter for the circular economy
[955.98-956.76] CLGM
[956.80-962.94] Is a geopolymer sustainable material brand launched by Taiwan's SDTI in 2024
[963.20-966.28] With its patented CL molecular blending technology
[966.52-967.30] SDTI
[967.56-973.70] has fundamentally transformed the molecular structure of glass fiber powder into a highly efficient geopolymer material
[974.72-977.54] CLGM offers exceptional fire resistance
[977.80-978.82] Heat resistance
[979.32-980.10] Thermal insulation
[980.86-981.88] And sound absorption
[982.92-985.98] It also serves as an industrial filtration material
[986.24-986.76] Effected by the use of the material as a material for the production of chemical and chemical products.
[986.80-987.56] It also serves as a material for the production of chemical products.
[987.82-989.88] It also serves as an industrial filtration material.
[991.16-992.94] As a gas filtration material
[993.96-996.02] It acts as an efficient photo catalyst
